window_id,stage,source,lo_keV,hi_keV,rate_cps,prompt_cps,delayed_cps,science_focus_cps,effective_catalog_events
W1_design_passband,both,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0009009894865032862,0.0,0.0,0.0009009894865032862,10034.0
W1_design_passband,compton_fov,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0009009894865032862,0.0,0.0,0.0009009894865032862,10034.0
W1_design_passband,raw,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0009217318179719085,0.0,0.0,0.0009217318179719085,10264.999980658999
W1_design_passband,scintillator,focused_eventlist_science,500.99393711182086,521.0060628881791,0.0009217318179719085,0.0,0.0,0.0009217318179719085,10264.999980658999
W2_511_pm_420eV,both,focused_eventlist_science,510.58,511.42,0.0008982877815429567,0.0,0.0,0.0008982877815429567,10003.912071139663
W2_511_pm_420eV,compton_fov,focused_eventlist_science,510.58,511.42,0.0008982877815429567,0.0,0.0,0.0008982877815429567,10003.912071139663
W2_511_pm_420eV,raw,focused_eventlist_science,510.58,511.42,0.0009185382661336878,0.0,0.0,0.0009185382661336878,10229.434527757858
W2_511_pm_420eV,scintillator,focused_eventlist_science,510.58,511.42,0.0009185382661336878,0.0,0.0,0.0009185382661336878,10229.434527757858
line_pm_1sigma,both,focused_eventlist_science,510.86,511.14,0.0006149041341602648,0.0,0.0,0.0006149041341602648,6847.969010280591
line_pm_1sigma,compton_fov,focused_eventlist_science,510.86,511.14,0.0006149041341602648,0.0,0.0,0.0006149041341602648,6847.969010280591
line_pm_1sigma,raw,focused_eventlist_science,510.86,511.14,0.0006287582837292764,0.0,0.0,0.0006287582837292764,7002.257754886191
line_pm_1sigma,scintillator,focused_eventlist_science,510.86,511.14,0.0006287582837292764,0.0,0.0,0.0006287582837292764,7002.257754886191
line_pm_2sigma,both,focused_eventlist_science,510.72,511.28,0.0008597331743569036,0.0,0.0,0.0008597331743569036,9574.543100359337
line_pm_2sigma,compton_fov,focused_eventlist_science,510.72,511.28,0.0008597331743569036,0.0,0.0,0.0008597331743569036,9574.543100359337
line_pm_2sigma,raw,focused_eventlist_science,510.72,511.28,0.0008791047348437915,0.0,0.0,0.0008791047348437915,9790.277291309578
line_pm_2sigma,scintillator,focused_eventlist_science,510.72,511.28,0.0008791047348437915,0.0,0.0,0.0008791047348437915,9790.277291309578
W1_design_passband,both,non_xray_background,500.99393711182086,521.0060628881791,0.7830469008295956,0.03643287122353762,0.7466140296060579,0.0,1326.8847212407734
W1_design_passband,compton_fov,non_xray_background,500.99393711182086,521.0060628881791,0.9797081812245346,0.1164566019427588,0.8632515792817759,0.0,1823.296696615408
W1_design_passband,raw,non_xray_background,500.99393711182086,521.0060628881791,1.3085405496245035,0.13238810063686934,1.176152448987634,0.0,2381.1226947948658
W1_design_passband,scintillator,non_xray_background,500.99393711182086,521.0060628881791,1.0802409144385412,0.043128703597057935,1.0371122108414832,0.0,1809.2110431378837
W2_511_pm_420eV,both,non_xray_background,510.58,511.42,0.18434717748640367,0.03223400479533992,0.15211317269106375,0.0,366.68501714731394
W2_511_pm_420eV,compton_fov,non_xray_background,510.58,511.42,0.3154586255931091,0.08976285027568492,0.22569577531742419,0.0,697.5396965464778
W2_511_pm_420eV,raw,non_xray_background,510.58,511.42,0.3622258121407555,0.0983219403167724,0.2639038718239831,0.0,795.1544933340224
W2_511_pm_420eV,scintillator,non_xray_background,510.58,511.42,0.21500665237415917,0.03527570134645273,0.17973095102770645,0.0,423.62217114307344
line_pm_1sigma,both,non_xray_background,510.86,511.14,0.11998992412964499,0.022026173509924037,0.09796375061972096,0.0,241.0733903515574
line_pm_1sigma,compton_fov,non_xray_background,510.86,511.14,0.20894287090846725,0.06095015827479298,0.14799271263367428,0.0,465.03802184614415
line_pm_1sigma,raw,non_xray_background,510.86,511.14,0.23736530150747714,0.06665251540393857,0.17071278610353857,0.0,525.7376833434892
line_pm_1sigma,scintillator,non_xray_background,510.86,511.14,0.1377443058257478,0.024043142652426488,0.1137011631733213,0.0,274.7466501185948
line_pm_2sigma,both,non_xray_background,510.72,511.28,0.1712360747482911,0.03083226864271602,0.1404038061055751,0.0,342.6585299081481
line_pm_2sigma,compton_fov,non_xray_background,510.72,511.28,0.2961434501243281,0.0855273770066347,0.2106160731176934,0.0,657.3977157016087
line_pm_2sigma,raw,non_xray_background,510.72,511.28,0.33786908141116556,0.09361928549574629,0.2442497959154193,0.0,745.740526519953
line_pm_2sigma,scintillator,non_xray_background,510.72,511.28,0.19779020419341722,0.03368908574665421,0.164101118446763,0.0,392.58255176306494
