energy_lo_keV,energy_hi_keV,energy_center_keV,raw_cps_per_keV,scintillator_cps_per_keV,compton_fov_cps_per_keV,both_cps_per_keV,raw_prompt_cps_per_keV,raw_delayed_cps_per_keV,both_prompt_cps_per_keV,both_delayed_cps_per_keV
514.53,514.54,514.535,0.06310701055780286,0.0,0.06310701055780286,0.0,0.0,0.06310701055780286,0.0,0.0
514.54,514.55,514.545,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
514.55,514.56,514.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.56,514.57,514.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.57,514.58,514.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.58,514.59,514.585,0.08619608856004886,0.06310701055780286,0.08619608856004886,0.06310701055780286,0.02308907800224599,0.06310701055780286,0.0,0.06310701055780286
514.59,514.6,514.595,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
514.6,514.61,514.605,0.02308907800224599,0.0,0.02308907800224599,0.0,0.02308907800224599,0.0,0.0,0.0
514.61,514.62,514.615,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.62,514.63,514.625,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.0,0.18932103167340858,0.0,0.18932103167340858
514.63,514.64,514.635,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.64,514.65,514.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.65,514.66,514.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.66,514.67,514.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.67,514.68,514.675,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.68,514.69,514.685,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.69,514.7,514.695,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
514.7,514.71,514.705,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
514.71,514.72,514.715,0.06310701055780286,0.0,0.06310701055780286,0.0,0.0,0.06310701055780286,0.0,0.0
514.72,514.73,514.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.73,514.74,514.735,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
514.74,514.75,514.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.75,514.76,514.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.76,514.77,514.765,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
514.77,514.78,514.775,0.02308907800224599,0.0,0.02308907800224599,0.0,0.02308907800224599,0.0,0.0,0.0
514.78,514.79,514.785,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.79,514.8,514.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.8,514.81,514.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.81,514.82,514.815,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.82,514.83,514.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.83,514.84,514.835,0.25242804223121146,0.25242804223121146,0.0,0.0,0.0,0.25242804223121146,0.0,0.0
514.84,514.85,514.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.85,514.86,514.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.86,514.87,514.865,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.87,514.88,514.875,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.88,514.89,514.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.89,514.9,514.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.9,514.91,514.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.91,514.92,514.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.92,514.93,514.925,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
514.93,514.94,514.935,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.0,0.12621402111560573,0.0,0.0
514.94,514.95,514.945,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.95,514.96,514.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.96,514.97,514.965,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.97,514.98,514.975,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
514.98,514.99,514.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514.99,515.0,514.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.0,515.01,515.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.01,515.02,515.015,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.02,515.03,515.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.03,515.04,515.035,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.04,515.05,515.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.05,515.06,515.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.06,515.07,515.065,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.07,515.08,515.075,0.06310701055780286,0.0,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.08,515.09,515.085,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.0,0.18932103167340858,0.0,0.18932103167340858
515.09,515.1,515.095,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.1,515.11,515.105,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.11,515.12,515.115,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.12,515.13,515.125,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.13,515.14,515.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.14,515.15,515.145,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.15,515.16,515.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.16,515.17,515.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.17,515.18,515.175,0.18932103167340858,0.18932103167340858,0.12621402111560573,0.12621402111560573,0.0,0.18932103167340858,0.0,0.12621402111560573
515.18,515.19,515.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.19,515.2,515.195,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.2,515.21,515.205,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.21,515.22,515.215,0.02308907800224599,0.0,0.0,0.0,0.02308907800224599,0.0,0.0,0.0
515.22,515.23,515.225,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.23,515.24,515.235,0.08619608856004886,0.06310701055780286,0.08619608856004886,0.06310701055780286,0.02308907800224599,0.06310701055780286,0.0,0.06310701055780286
515.24,515.25,515.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.25,515.26,515.255,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.26,515.27,515.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.27,515.28,515.275,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.0,0.12621402111560573,0.0,0.0
515.28,515.29,515.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.29,515.3,515.295,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.3,515.31,515.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.31,515.32,515.315,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.32,515.33,515.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.33,515.34,515.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.34,515.35,515.345,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.35,515.36,515.355,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.36,515.37,515.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.37,515.38,515.375,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.38,515.39,515.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.39,515.4,515.395,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.4,515.41,515.405,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.41,515.42,515.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.42,515.43,515.425,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.43,515.44,515.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.44,515.45,515.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.45,515.46,515.455,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.46,515.47,515.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.47,515.48,515.475,0.06310701055780286,0.0,0.06310701055780286,0.0,0.0,0.06310701055780286,0.0,0.0
515.48,515.49,515.485,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.49,515.5,515.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.5,515.51,515.505,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.51,515.52,515.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.52,515.53,515.525,0.1723921771200977,0.12621402111560573,0.1723921771200977,0.12621402111560573,0.04617815600449198,0.12621402111560573,0.0,0.12621402111560573
515.53,515.54,515.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.54,515.55,515.545,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.55,515.56,515.555,0.14930309911785172,0.12621402111560573,0.14930309911785172,0.12621402111560573,0.02308907800224599,0.12621402111560573,0.0,0.12621402111560573
515.56,515.57,515.565,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.57,515.58,515.575,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.58,515.59,515.585,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.59,515.6,515.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.6,515.61,515.605,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.61,515.62,515.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.62,515.63,515.625,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.63,515.64,515.635,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.64,515.65,515.645,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.65,515.66,515.655,0.02308907800224599,0.02308907800224599,0.0,0.0,0.02308907800224599,0.0,0.0,0.0
515.66,515.67,515.665,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.67,515.68,515.675,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
515.68,515.69,515.685,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.0,0.18932103167340858,0.0,0.18932103167340858
515.69,515.7,515.695,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.7,515.71,515.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.71,515.72,515.715,0.18932103167340858,0.18932103167340858,0.0,0.0,0.0,0.18932103167340858,0.0,0.0
515.72,515.73,515.725,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.73,515.74,515.735,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.74,515.75,515.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.75,515.76,515.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.76,515.77,515.765,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.77,515.78,515.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.78,515.79,515.785,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.79,515.8,515.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.8,515.81,515.805,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
515.81,515.82,515.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.82,515.83,515.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.83,515.84,515.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.84,515.85,515.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.85,515.86,515.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.86,515.87,515.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.87,515.88,515.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.88,515.89,515.885,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.89,515.9,515.895,0.08619608856004886,0.06310701055780286,0.08619608856004886,0.06310701055780286,0.02308907800224599,0.06310701055780286,0.0,0.06310701055780286
515.9,515.91,515.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.91,515.92,515.915,0.25242804223121146,0.25242804223121146,0.18932103167340858,0.18932103167340858,0.0,0.25242804223121146,0.0,0.18932103167340858
515.92,515.93,515.925,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.18932103167340858,0.0,0.18932103167340858,0.0,0.18932103167340858
515.93,515.94,515.935,0.06310701055780286,0.0,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
515.94,515.95,515.945,0.02308907800224599,0.02308907800224599,0.02308907800224599,0.02308907800224599,0.02308907800224599,0.0,0.02308907800224599,0.0
515.95,515.96,515.955,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
515.96,515.97,515.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.97,515.98,515.975,0.12621402111560573,0.12621402111560573,0.0,0.0,0.0,0.12621402111560573,0.0,0.0
515.98,515.99,515.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515.99,516.0,515.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.0,516.01,516.005,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
516.01,516.02,516.015,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
516.02,516.03,516.025,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
516.03,516.04,516.035,0.14930309911785172,0.12621402111560573,0.14930309911785172,0.12621402111560573,0.02308907800224599,0.12621402111560573,0.0,0.12621402111560573
516.04,516.05,516.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.05,516.06,516.055,0.12621402111560573,0.12621402111560573,0.0,0.0,0.0,0.12621402111560573,0.0,0.0
516.06,516.07,516.065,0.12621402111560573,0.12621402111560573,0.0,0.0,0.0,0.12621402111560573,0.0,0.0
516.07,516.08,516.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.08,516.09,516.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.09,516.1,516.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.1,516.11,516.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.11,516.12,516.115,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
516.12,516.13,516.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.13,516.14,516.135,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
516.14,516.15,516.145,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.12621402111560573,0.0,0.12621402111560573,0.0,0.12621402111560573
516.15,516.16,516.155,0.18932103167340858,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.0,0.18932103167340858,0.0,0.06310701055780286
516.16,516.17,516.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.17,516.18,516.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.18,516.19,516.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.19,516.2,516.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.2,516.21,516.205,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
516.21,516.22,516.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.22,516.23,516.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.23,516.24,516.235,0.12621402111560573,0.12621402111560573,0.06310701055780286,0.06310701055780286,0.0,0.12621402111560573,0.0,0.06310701055780286
516.24,516.25,516.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.25,516.26,516.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.26,516.27,516.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516.27,516.28,516.275,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
516.28,516.29,516.285,0.06310701055780286,0.06310701055780286,0.0,0.0,0.0,0.06310701055780286,0.0,0.0
516.29,516.3,516.295,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.06310701055780286,0.0,0.06310701055780286,0.0,0.06310701055780286
516.3,516.31,516.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
