pilot_event_id,original_event_id,sampling_method,pilot_event_weight_Bq,event_id,source_name,production_tag,raw_volume,canonical_volume_for_reporting_only,ZA,nuclide,exc_keV_decimal,state_id,point_index_within_key,x_cm,y_cm,z_cm,key_activity_Bq,key_rpip_count,event_weight_Bq
14,2003,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2003,RP2_muminus_f34dc79bcf8e525a_12027_gs_000533,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,0,gs,533,-18.08351,-14.51749,-0.5477281,0.397091239140770194925876302,588,0.00067532523663396291654060595578231292517006802721088435374149659863945578231292517
15,2136,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2136,RP2_muminus_67b9c194bc287f7d_12027_gs_000013,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,12027,Mg-27,0,gs,13,-13.99965,13.48428,4.743526,0.1141299649911397328953624065,169,0.00067532523663396291654060595562130177514792899408284023668639053254437869822485207
16,2265,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2265,RP2_muminus_67b9c194bc287f7d_12027_gs_000142,muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_rectcut_window_band,Window,12027,Mg-27,0,gs,142,8.087143,-11.97321,-12.93233,0.1141299649911397328953624065,169,0.00067532523663396291654060595562130177514792899408284023668639053254437869822485207
17,2395,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2395,RP2_muminus_5352108d46ccbe9e_12027_gs_000008,muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0,gs,8,-8.528012,-1.99933,16.99453,0.1796365129446341357998011843,266,0.00067532523663396291654060595601503759398496240601503759398496240601503759398496241
18,2523,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2523,RP2_muminus_5352108d46ccbe9e_12027_gs_000136,muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0,gs,136,16.69862,-5.540854,-8.230245,0.1796365129446341357998011843,266,0.00067532523663396291654060595601503759398496240601503759398496240601503759398496241
19,2652,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2652,RP2_muminus_5352108d46ccbe9e_12027_gs_000265,muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0,gs,265,-6.5825,8.451248,15.05721,0.1796365129446341357998011843,266,0.00067532523663396291654060595601503759398496240601503759398496240601503759398496241
20,2788,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2788,RP2_muminus_a19dc9ea435bdecf_11025_gs_000043,muminus,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,11025,Na-25,0,gs,43,21.86661,-5.507659,32.57209,0.02971431041189436832778666206,44,0.00067532523663396291654060595590909090909090909090909090909090909090909090909090909
21,2917,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,2917,RP2_muminus_a19dc9ea435bdecf_12027_gs_000117,muminus,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,12027,Mg-27,0,gs,117,33.41244,2.247321,20.87489,0.2350131823486190949561308726,348,0.00067532523663396291654060595574712643678160919540229885057471264367816091954022989
22,3046,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3046,RP2_muminus_a19dc9ea435bdecf_12027_gs_000246,muminus,Plate_300K_Top_Service_Lid,Plate_300K_Top_Service_Lid,12027,Mg-27,0,gs,246,17.14122,-0.8851609,36.59096,0.2350131823486190949561308726,348,0.00067532523663396291654060595574712643678160919540229885057471264367816091954022989
23,3180,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3180,RP2_muminus_7e16c89aa140a66c_10023_gs_000000,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10023,Ne-23,0,gs,0,16.56853,-13.35795,18.04925,0.01485715520594718416389333103,22,0.00067532523663396291654060595590909090909090909090909090909090909090909090909090909
24,3319,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3319,RP2_muminus_7e16c89aa140a66c_11024_gs_000068,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11024,Na-24,0,gs,68,13.39946,13.39376,13.93887,0.08441564978800192704056273501,125,0.00067532519830401541632450188008
25,3448,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3448,RP2_muminus_7e16c89aa140a66c_11025_gs_000072,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,Na-25,0,gs,72,2.676818,11.08719,13.28965,0.09454553312875480831568483382,140,0.00067532523663396291654060595585714285714285714285714285714285714285714285714285714
26,3577,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3577,RP2_muminus_7e16c89aa140a66c_12027_gs_000027,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,27,3.405899,13.29885,5.705391,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
27,3706,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3706,RP2_muminus_7e16c89aa140a66c_12027_gs_000156,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,156,4.826745,-0.3104487,23.76817,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
28,3835,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3835,RP2_muminus_7e16c89aa140a66c_12027_gs_000285,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,285,5.973858,11.70944,14.1539,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
29,3963,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,3963,RP2_muminus_7e16c89aa140a66c_12027_gs_000413,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,413,7.263435,7.709241,22.75454,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
30,4092,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4092,RP2_muminus_7e16c89aa140a66c_12027_gs_000542,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,542,21.16608,13.25481,18.6712,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
31,4221,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4221,RP2_muminus_7e16c89aa140a66c_12027_gs_000671,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,671,8.409874,11.03741,19.05217,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
32,4350,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4350,RP2_muminus_7e16c89aa140a66c_12027_gs_000800,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,800,7.202728,-12.90007,12.23923,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
33,4479,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4479,RP2_muminus_7e16c89aa140a66c_12027_gs_000929,muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0,gs,929,13.179,-6.704229,29.47825,0.6483122271686043998789817176,960,0.00067532523663396291654060595583333333333333333333333333333333333333333333333333333
34,4702,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4702,RP2_n_136d6fafb04c1a75_29064_gs_000003,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,3,16.25033,6.388564,12.22213,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
35,4830,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4830,RP2_n_136d6fafb04c1a75_29064_gs_000131,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,131,15.58495,1.804671,12.41562,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
36,4958,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,4958,RP2_n_136d6fafb04c1a75_29064_gs_000259,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,259,15.62807,6.794786,12.95471,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
37,5087,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5087,RP2_n_136d6fafb04c1a75_29064_gs_000388,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,388,11.98213,-3.143291,16.57716,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
38,5215,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5215,RP2_n_136d6fafb04c1a75_29064_gs_000516,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,516,10.92716,-6.549996,17.26394,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
39,5343,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5343,RP2_n_136d6fafb04c1a75_29064_gs_000644,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,644,15.35767,-0.848077,13.01665,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
40,5471,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5471,RP2_n_136d6fafb04c1a75_29064_gs_000772,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,772,19.3349,4.478279,9.26559,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
41,5599,weighted_systematic_pps,0.086999842066995796472549657847893265995051576885679999999999999999999999999991435,5599,RP2_n_136d6fafb04c1a75_29064_gs_000900,n,ColdPlate_4K,ColdPlate_4K,29064,Cu-64,0,gs,900,17.54281,-0.08487993,10.77918,1.837457935696170490439041807,2707,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816
