selection_id,time_bin_id,day_mid,prompt_event_rate_hz,delayed_event_rate_hz,atm511_event_rate_hz,coincidence_occupancy_rate_hz,coincidence_window_s,accidental_live_factor,accidental_loss_fraction
broad_480_550,0,0.0,23724.458518496176,7.444030964752058,202.4765592953111,23934.37910875624,1e-06,0.9763497765983308,0.023650223401669224
broad_480_550,1,0.25,23433.9615995331,8.793187087321662,184.8855106204046,23627.640297240825,1e-06,0.9766493069048645,0.02335069309513549
broad_480_550,2,0.5,23202.022740818476,9.79507698161867,170.3314266947042,23382.1492444948,1e-06,0.9768890950030923,0.02311090499690771
broad_480_550,3,0.75,23036.368521486034,10.490274367711885,159.60115925051895,23206.459955104267,1e-06,0.977060739031574,0.022939260968426023
broad_480_550,4,1.0,22938.49080942655,11.008203346093643,153.07096210669314,23102.569974879334,1e-06,0.9771622511253839,0.022837748874616093
broad_480_550,5,1.25,22907.622645979383,11.410093947567097,176.97586285940073,23096.00860278635,1e-06,0.977168662671543,0.02283133732845699
broad_480_550,6,1.5,22943.18156449412,11.737270957347715,179.54188036574533,23134.46071581721,1e-06,0.9771310891940702,0.022868910805929787
broad_480_550,7,1.75,23045.575756486316,12.019471381607898,187.20135972241323,23244.79658759034,1e-06,0.9770232825310877,0.022976717468912278
broad_480_550,8,2.0,23215.402421020026,12.278326081979117,199.78723732611934,23427.467984428124,1e-06,0.9768448246233986,0.02315517537660139
broad_480_550,9,2.25,23451.006847108325,12.52889846350544,216.85819290814396,23680.393938479974,1e-06,0.9765977864566691,0.02340221354333094
broad_480_550,10,2.5,23744.505944404405,12.779831286489769,237.4913026320942,23994.77707832299,1e-06,0.9762908088350218,0.02370919116497816
broad_480_550,11,2.75,24077.054439904896,13.032570232745142,260.08756261184755,24350.17457274949,1e-06,0.9759438991767934,0.02405610082320664
broad_480_550,12,3.0,24415.41264629948,13.280524145591745,282.3109202607469,24711.00409070582,1e-06,0.9755918133354032,0.024408186664596765
broad_480_550,13,3.25,24713.08773906707,13.509499756041272,301.2911813756233,25027.88842019873,1e-06,0.975282712554959,0.02471728744504098
broad_480_550,14,3.5,24918.829906412142,13.70070218456107,314.1446369559682,25246.67524555267,1e-06,0.9750693568870122,0.02493064311298776
broad_480_550,15,3.75,24991.60577927722,13.836402866894293,318.69949898590323,25324.14168113002,1e-06,0.9749938246651372,0.025006175334862824
broad_480_550,16,4.0,24915.671603760286,13.906330689379542,314.1446369559682,25243.722571405633,1e-06,0.9750722359533444,0.024927764046655643
broad_480_550,17,4.25,24706.98141768466,13.911592853712428,301.2911813756233,25022.184191913995,1e-06,0.9752882758060606,0.02471172419393941
broad_480_550,18,4.5,24406.745647708274,13.86405766757086,282.3109202607469,24702.920625636594,1e-06,0.975599699529622,0.024400300470378
broad_480_550,19,4.75,24066.34011981953,13.781955868521202,260.0875626118474,24340.2096382999,1e-06,0.9759536244422308,0.02404637555776923
broad_480_550,20,5.0,23732.33353897399,13.68446755146286,202.4765592953111,23948.494565820765,1e-06,0.9763359950722458,0.023664004927754223
broad_480_550,21,5.25,23438.002696966676,13.587803937848358,184.8855106204046,23636.47601152493,1e-06,0.9766406775487562,0.023359322451243836
broad_480_550,22,5.5,23202.202699812242,13.503657207069233,170.3314266947042,23386.037783714015,1e-06,0.9768852963389192,0.023114703661080815
broad_480_550,23,5.75,23032.805714706054,13.439504566987498,159.60115925051895,23205.84637852356,1e-06,0.9770613385333452,0.022938661466654797
broad_480_550,24,6.0,22931.436663040444,13.399797678156155,153.07096210669314,23097.907422825294,1e-06,0.9771668072058665,0.02283319279413354
