selection_id,background_final_cps_day15,background_final_upper95_cps_day15,response_cps_per_ph_cm2_s,response_lower95_cps_per_ph_cm2_s,analysis_case_id,source_case_id,source_class,model_id,flux_ph_cm2_s,duration_s,final_rate_day15_cps,final_rate_lower95_day15_cps,total_source_counts,total_background_counts,total_source_lower95_counts,total_background_upper95_counts,final_counting_Z,final_counting_Z_conservative95,T3_day_counting,T5_day_counting,T3_day_conservative95,T5_day_conservative95
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,3e-05,,0.00035484056077336295,0.0003530034685678021,594.3784186953598,29989.22584402765,591.3011832244229,112914.34508350526,3.432261784419543,1.7596819857441095,15.2368002049404,42.4433050256956,58.13050942831503,161.4736373008751
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F5e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,5e-05,,0.0005914009346222716,0.0005883391142796702,990.6306978255993,29989.22584402765,985.5019720407049,112914.34508350526,5.720436307365904,2.9328033095735164,5.450841597365126,15.236800204940396,20.926983394193407,58.13050942831501
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F8e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,8e-05,,0.0009462414953956346,0.0009413425828474723,1585.0091165209594,29989.22584402765,1576.8031552651282,112914.34508350526,9.15269809178545,4.692485295317627,1.689783272031686,5.828368066915325,7.699276096908031,22.70723024543554
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.0001,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.0001,,0.0011828018692445431,0.0011766782285593403,1981.2613956511987,29989.22584402765,1971.0039440814098,112914.34508350526,11.440872614731807,5.865606619147033,1.1033946552739693,3.425260836328561,5.223123006200837,14.487121770082673
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.00015,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.00015,,0.0017742028038668144,0.0017650173428390102,2971.8920934767984,29989.22584402765,2956.505916122116,112914.34508350526,17.161308922097714,8.798409928720552,0.5302008618356839,1.3450811870821546,1.8910672544464915,6.231220694768829
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.0002,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.0002,,0.0023656037384890863,0.0023533564571186806,3962.5227913023973,29989.22584402765,3942.0078881628197,112914.34508350526,22.881745229463615,11.731213238294066,0.3163726316794222,0.7938504685502911,1.0935506124629217,3.2359559889052307
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,A_point_broad_480_550_F0.0003,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,0.0003,,0.0035484056077336287,0.0035300346856780205,5943.784186953597,29989.22584402765,5913.011832244232,112914.34508350526,34.32261784419543,17.596819857441105,0.1458541148759658,0.37321213728057445,0.5241995136021009,1.3304671714710425
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,B_diffuse_proxy_broad_480_550,B_GC_DIFFUSE_BULGE_DISK_PROXY,extended_steady,routeB_fov_flux_proxy,6.26238e-07,,7.407154769919642e-06,7.368806204965441e-06,12.40741173889815,29989.22584402765,12.343175679336538,112914.34508350526,0.07164709184504416,0.03673265757961399,35065.12334744144,97403.12040955956,133403.67829242593,370565.7730345165
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,3600.0,0.0011828018692445431,0.0011766782285593403,4.1573820268691914,58.82580632635318,4.135858292095313,229.3396810949838,0.5420458076476926,0.27310273402270363,612.6331957384217,1701.7588770511716,2413.350548057349,6703.751522381526
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T21600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,21600.0,0.0011828018692445431,0.0011766782285593403,25.359935527385662,349.90989298266095,25.228641236255733,1365.855051704418,1.355720098142016,0.6826397196864763,97.93376169417046,272.0382269282513,386.26859199217745,1072.968311089382
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T86400s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,86400.0,0.0011828018692445431,0.0011766782285593403,105.34614642218041,1370.6892385183526,104.800744892952,5369.199142114292,2.8454381641080855,1.4302422838723376,22.23177819317863,61.75493942549621,87.99404418631866,244.42790051755185
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0001_T259200s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0001,259200.0,0.0011828018692445431,0.0011766782285593403,313.4814981083189,4262.483896063327,311.85853140037773,16373.45715430512,4.801539853910213,2.437179045898101,1.1033946552739693,21.68747184929618,30.30383788620503,84.17732746168063
broad_480_550,0.01746163502311927,0.06623004554881307,11.828018692445431,11.766782285593402,C_transient_broad_480_550_F0.0003_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,0.0003,3600.0,0.0035484056077336287,0.0035300346856780205,12.472146080607573,58.82580632635318,12.40757487628594,229.3396810949838,1.6261374229430778,0.819308202068111,68.07035508204686,189.08431967235234,268.15006089526105,744.861280264614
