analysis_case_id,source_case_id,source_class,selection_id,time_bin_id,day_mid,elapsed_stop_day,dt_s,dt_active_s,atm511_event_rate_hz,coincidence_occupancy_rate_hz,accidental_live_factor,source_final_cps_noacc,source_final_lower95_cps_noacc,background_final_cps_noacc,background_final_upper95_cps_noacc,cumulative_source_counts,cumulative_background_counts,cumulative_source_lower95_counts,cumulative_background_upper95_counts,counting_Z,counting_Z_conservative95
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,0,0.0,0.125,10800.0,10800.0,202.4765592953111,23934.37910875624,0.9763497765983308,0.00035484056077336295,0.0003530034685678021,0.016736319451264435,0.0652486112024146,3.741643824182273,176.47741897905954,3.722272462885782,688.0190432849514,0.28165526366265314,0.14190834330398766
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,1,0.25,0.375,21600.0,21600.0,184.8855106204046,23627.640297240825,0.9766493069048645,0.00036655342789718837,0.00036465569545125856,0.016442506326690236,0.06426318324135824,11.474317492249124,523.3423669862624,11.414912278867655,2043.6910601238847,0.5015727289501525,0.25250207755859083
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,2,0.5,0.625,21600.0,21600.0,170.3314266947042,23382.1492444948,0.9768890950030923,0.0003763192937516414,0.0003743710011442614,0.016192609263884584,0.06345373693645912,19.41495732124239,865.0194486322163,19.31444156653719,3382.6159549729964,0.6601209320426968,0.3320900086695479
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,3,0.75,0.875,21600.0,21600.0,159.60115925051895,23206.459955104267,0.977060739031574,0.00038354972137806927,0.0003815639951633068,0.01600694861974127,0.06286455363268195,27.50958700450262,1202.8382872699847,27.36716346714256,4709.341679167743,0.7931958780718416,0.3987949826596047
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,4,1.0,1.125,21600.0,21600.0,153.07096210669314,23102.569974879334,0.9771622511253839,0.0003879579493841219,0.0003859494007465434,0.015904988887280525,0.06252586319766855,35.69810084880563,1538.5401897667205,35.51328346862864,6029.056605060841,0.9101033006645927,0.45736839131235163
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,5,1.25,1.375,21600.0,21600.0,176.97586285940073,23096.00860278635,0.977168662671543,0.00038943557449437524,0.000387419375847545,0.01629543675801646,0.06309835037088932,43.91785642255411,1882.4854168874808,43.690483453852416,7360.863587072812,1.0122209561162712,0.5092399486789463
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,6,1.5,1.625,21600.0,21600.0,179.54188036574533,23134.46071581721,0.9771310891940702,0.0003879579493841219,0.0003859494007465434,0.016386714745289403,0.06329439374634607,52.10610913324734,2228.3439349188275,51.836343673678215,8696.757056939714,1.1038181559533213,0.5558475444459066
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,7,1.75,1.875,21600.0,21600.0,187.20135972241323,23244.79658759034,0.9770232825310877,0.00038354972137806927,0.0003815639951633068,0.01658806638758286,0.06377836785752729,60.20042850161254,2578.4135596921674,59.88875686596103,10042.716783822263,1.1855593345878237,0.5976125246019702
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,8,2.0,2.125,21600.0,21600.0,199.78723732611934,23427.467984428124,0.9768448246233986,0.00037631929375164124,0.00037437100114426125,0.01689940120684797,0.06455045665211893,68.14070847896856,2934.9883600280746,67.78792816502903,11404.72162118857,1.257776433181566,0.634760679035896
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,9,2.25,2.375,21600.0,21600.0,216.85819290814396,23680.393938479974,0.9765977864566691,0.0003665534278971883,0.0003646556954512585,0.01731453914448268,0.06559751289962197,75.87297423110253,3300.2301170316878,75.48016217695378,12788.469156516976,1.3207329022966199,0.6674573877844641
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,10,2.5,2.625,21600.0,21600.0,237.4913026320942,23994.77707832299,0.9762908088350218,0.00035484056077336295,0.0003530034685678021,0.017815880106015945,0.06687798015041722,83.35580991773635,3675.9292850059855,82.92425748090574,14198.784074937928,1.3748404508830026,0.6959147059986365
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,11,2.75,2.875,21600.0,21600.0,260.08756261184755,24350.17457274949,0.9759438991767934,0.0003421624236958277,0.0003403909691579433,0.018368768062773308,0.06830512346584248,90.5687266442997,4063.1500469331395,90.09983125809246,15638.682595164471,1.4208454194154312,0.7204832605103493
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,12,3.0,3.125,21600.0,21600.0,282.3109202607469,24711.00409070582,0.9755918133354032,0.00032987790558834624,0.00032817005086107856,0.01891860676784848,0.06973683099011614,97.52017222069165,4461.8177451935135,97.01528758213418,17108.23171344577,1.4599518957938469,0.7417159419433457
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,broad_480_550,13,3.25,3.375,21600.0,21600.0,301.2911813756233,25027.88842019873,0.975282712554959,0.00031955131585406974,0.00031789692428633916,0.01939463999081655,0.07098358194331132,104.25187430182758,4870.387298537755,103.71213807416073,18603.57941688783,1.4938332528411815,0.7603811310385687
