analysis_case_id,source_case_id,source_class,model_id,selection_id,flux_ph_cm2_s,duration_s,time_bin_id,day_mid,elapsed_stop_day,dt_s,dt_active_s,source_final_cps_noacc,background_final_cps_noacc,accidental_live_factor,source_final_cps,background_final_cps,cumulative_source_counts,cumulative_background_counts,counting_Z,template_proxy_Z,template_proxy_note
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,0,0.0,0.125,10800.0,10800.0,0.00035638501155748535,0.06576043133095362,0.9992641295976966,0.0003561227583756556,0.06571204017589446,3.846125790457081,709.6900338996602,0.14437404709869842,0.14437404709869842,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,1,0.25,0.375,21600.0,21600.0,0.00036814885917456184,0.0651961139054679,0.9992677488378983,0.00036787928174460485,0.0651483739752961,11.792318276140545,2116.894911766056,0.2563005527577398,0.2563005527577398,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,2,0.5,0.625,21600.0,21600.0,0.00037795723115949687,0.0645942650349376,0.99927402225755,0.00037768284262207705,0.06454737103623233,19.950267676777408,3511.1181261486745,0.33668673540857447,0.33668673540857447,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,3,0.75,0.875,21600.0,21600.0,0.00038521912936976345,0.06416524267488068,0.9992784843517336,0.0003849411877399116,0.06411894644821593,28.2649973319595,4896.087369430139,0.4039469834103125,0.4039469834103125,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,4,1.0,1.125,21600.0,21600.0,0.00038964654427819755,0.06391650288132504,0.9992810145625973,0.00038936639408712723,0.06387054784654367,36.675311444241444,6275.691202915483,0.4629595290852077,0.4629595290852077,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,5,1.25,1.375,21600.0,21600.0,0.00039113060078190594,0.06384824229403084,0.9992815847089513,0.00039084960657750716,0.06380237274046023,45.1176629463156,7653.822454109424,0.5157121978699055,0.5157121978699055,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,6,1.5,1.625,21600.0,21600.0,0.00038964654427819755,0.06396053823309432,0.9992801750072147,0.00038936606695727364,0.06391449783912213,53.52796999259271,9034.375607434462,0.5631598727569039,0.5631598727569039,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,7,1.75,1.875,21600.0,21600.0,0.00038521912936976345,0.06425576463246778,0.9992767450189566,0.00038494051771565356,0.06420929133063659,61.84268517525083,10421.296300176213,0.6057974851902526,0.6057974851902526,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,8,2.0,2.125,21600.0,21600.0,0.0003779572311594967,0.06473649082725412,0.9992712558053183,0.00037768179702145127,0.06468931448537969,70.00061199091418,11818.585493060415,0.6439009804002631,0.6439009804002631,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,9,2.25,2.375,21600.0,21600.0,0.0003681488591745618,0.06539878505356818,0.999263744059957,0.0003678778073901745,0.06535063480960089,77.94677263054194,13230.159204947793,0.6776658536450055,0.6776658536450055,same count selection; no profile likelihood gain claimed
