selection_id,time_bin_id,day_mid,dt_s,prompt_event_rate_hz,delayed_event_rate_hz,coincidence_occupancy_rate_hz,coincidence_window_s,accidental_live_factor,accidental_loss_fraction
broad_480_550,0,0.0,10800.0,676.1585051626602,59.982782664468466,736.1412878271286,1e-06,0.9992641295976966,0.0007358704023033846
broad_480_550,1,0.25,21600.0,667.879202925802,64.64018600569396,732.519388931496,1e-06,0.9992677488378983,0.000732251162101738
broad_480_550,2,0.5,21600.0,661.2688336364315,64.97255826499254,726.2413919014241,1e-06,0.99927402225755,0.0007259777424499791
broad_480_550,3,0.75,21600.0,656.5476085247861,65.22845742809875,721.7760659528849,1e-06,0.9992784843517336,0.0007215156482663909
broad_480_550,4,1.0,21600.0,653.7580465449716,65.48598484490452,719.2440313898762,1e-06,0.9992810145625973,0.000718985437402675
broad_480_550,5,1.25,21600.0,652.8782890054147,65.79518597136685,718.6734749767816,1e-06,0.9992815847089513,0.0007184152910486574
broad_480_550,6,1.5,21600.0,653.8917353257756,66.19245586210367,720.0841911878792,1e-06,0.9992801750072147,0.000719824992785334
broad_480_550,7,1.75,21600.0,656.8100191610339,66.7066369456349,723.5166561066687,1e-06,0.9992767450189566,0.0007232549810434197
broad_480_550,8,2.0,21600.0,661.6501609724202,67.35969683473043,729.0098578071506,1e-06,0.9992712558053183,0.0007287441946817186
broad_480_550,9,2.25,21600.0,668.3650006990833,68.16210885680024,736.5271095558836,1e-06,0.999263744059957,0.0007362559400430069
broad_480_550,10,2.5,21600.0,676.72986646576,69.10336335018583,745.8332298159459,1e-06,0.9992544448346532,0.0007455551653468007
broad_480_550,11,2.75,21600.0,686.2076589066876,70.13983500069243,756.34749390738,1e-06,0.9992439384647591,0.0007560615352408817
broad_480_550,12,3.0,21600.0,695.8510309089154,71.18572682834109,767.0367577372565,1e-06,0.9992332573397573,0.0007667426602426808
broad_480_550,13,3.25,21600.0,704.3349145597464,72.11619307857084,776.4511076383172,1e-06,0.9992238502525208,0.0007761497474791934
broad_480_550,14,3.5,21600.0,710.1986655158541,72.79053754607094,782.9892030619251,1e-06,0.999217317252995,0.0007826827470049924
broad_480_550,15,3.75,21600.0,712.2728129772175,73.09349386194047,785.366306839158,1e-06,0.999214942012559,0.0007850579874409958
broad_480_550,16,4.0,21600.0,710.108652367682,72.97746481223287,783.0861171799148,1e-06,0.9992172204147347,0.0007827795852652919
broad_480_550,17,4.25,21600.0,704.1608814565354,72.48166747113264,776.642548927668,1e-06,0.9992236589598369,0.0007763410401631088
broad_480_550,18,4.5,21600.0,695.6040172707703,71.71615553348119,767.3201728042516,1e-06,0.9992329741420368,0.0007670258579631772
broad_480_550,19,4.75,21600.0,685.9022956189605,70.82147467154725,756.7237702905077,1e-06,0.9992435624729349,0.0007564375270651125
broad_480_550,20,5.0,21600.0,676.3829470427668,69.92759805233838,746.3105450951051,1e-06,0.9992539678753527,0.0007460321246473001
broad_480_550,21,5.25,21600.0,667.9943761508421,69.12982115342928,737.1241973042713,1e-06,0.9992631474119962,0.0007368525880038224
broad_480_550,22,5.5,21600.0,661.2739625545107,68.48455074478869,729.7585132992995,1e-06,0.9992705076956845,0.0007294923043155155
broad_480_550,23,5.75,21600.0,656.446066813954,68.0178277901893,724.4638946041432,1e-06,0.9992757984660023,0.0007242015339976593
broad_480_550,24,6.0,21600.0,653.556999972216,67.73781449557194,721.2948144677879,1e-06,0.9992789652561039,0.0007210347438960651
broad_480_550,25,6.25,21600.0,652.5883535445514,67.64557331275353,720.2339268573049,1e-06,0.9992800253793399,0.000719974620660091
broad_480_550,26,6.5,21600.0,653.5265768396273,67.74187507998317,721.2684519196105,1e-06,0.9992789915996442,0.000721008400355827
broad_480_550,27,6.75,21600.0,656.3858730118751,68.0296176661682,724.4154906780433,1e-06,0.9992758468348755,0.0007241531651245303
broad_480_550,28,7.0,21600.0,661.1852998500079,68.51183890319592,729.6971387532038,1e-06,0.9992705690254603,0.0007294309745397021
broad_480_550,29,7.25,21600.0,667.8792029258021,69.18516903886483,737.064371964667,1e-06,0.9992632071932551,0.0007367928067448792
broad_480_550,30,7.5,21600.0,676.2439176743732,70.02894682903838,746.2728645034115,1e-06,0.9992540055278342,0.000745994472165834
broad_480_550,31,7.75,21600.0,685.742846872176,70.99207141961512,756.734918291791,1e-06,0.9992435513333664,0.0007564486666336023
broad_480_550,32,8.0,21600.0,695.4284855555862,71.98319450622164,767.4116800618078,1e-06,0.9992328827049719,0.0007671172950280969
broad_480_550,33,8.25,21600.0,703.9745814799531,72.8732721717337,776.8478536516868,1e-06,0.9992234538145204,0.0007765461854796207
broad_480_550,34,8.5,21600.0,709.9178036384674,73.51832701448707,783.4361306529545,1e-06,0.9992168706753063,0.0007831293246937099
broad_480_550,35,8.75,21600.0,712.0842215445189,73.80041702785134,785.8846385723702,1e-06,0.9992144240878804,0.0007855759121195849
broad_480_550,36,9.0,21600.0,710.0191812941179,73.66969321121434,783.6888745053323,1e-06,0.999216618129417,0.000783381870583022
broad_480_550,37,9.25,21600.0,704.1708264554288,73.16347732804797,777.3343037834768,1e-06,0.9992229677422578,0.0007770322577421718
broad_480_550,38,9.5,21600.0,695.7076110891624,72.3902795934071,768.0978906825694,1e-06,0.9992321970209904,0.0007678029790095797
broad_480_550,39,9.75,21600.0,686.0889740359455,71.48945001082693,757.5784240467724,1e-06,0.9992427084660357,0.0007572915339643105
broad_480_550,40,10.0,21600.0,676.6388224718975,70.59007781557278,747.2289002874702,1e-06,0.9992530502057042,0.0007469497942957926
