analysis_case_id,source_case_id,source_class,model_id,selection_id,flux_ph_cm2_s,duration_s,time_bin_id,day_mid,elapsed_stop_day,dt_s,dt_active_s,source_final_cps_noacc,background_final_cps_noacc,accidental_live_factor,source_final_cps,background_final_cps,cumulative_source_counts,cumulative_background_counts,counting_Z,template_proxy_Z,template_proxy_note
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,0,0.0,0.125,10800.0,10800.0,0.00035643290150427987,0.07226409089357345,0.9993750131088279,0.00035621013561325726,0.0722189267840625,3.8470694646231784,779.964409267875,0.1377503260045429,0.1377503260045429,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,1,0.25,0.375,21600.0,21600.0,0.0003681983299118448,0.0719014255378152,0.9993819695168733,0.0003679707721201229,0.07185698826505256,11.795238142417833,2332.07535579301,0.24425047884146509,0.24425047884146509,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,2,0.5,0.625,21600.0,21600.0,0.00037800801991632964,0.07166114236922186,0.9993874582077703,0.0003777764742063329,0.07161724692464179,19.955209985274625,3879.0078893652726,0.320402555046967,0.320402555046967,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,3,0.75,0.875,21600.0,21600.0,0.0003852708939586532,0.07150266749665879,0.999391360870499,0.0003850364030171321,0.07145914817535662,28.271996290444676,5422.5254899529755,0.3839332047974486,0.3839332047974486,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,4,1.0,1.125,21600.0,21600.0,0.0003896989038097968,0.07146835027478309,0.999393587954982,0.00038946258570059624,0.0714250110063389,36.68438814157756,6965.305727689896,0.43955293881858687,0.43955293881858687,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,5,1.25,1.375,21600.0,21600.0,0.0003911831597365581,0.07157818796565182,0.9993941299680869,0.0003909461535830846,0.07153482088662479,45.12882505897218,8510.457858840991,0.4891899924376689,0.4891899924376689,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,6,1.5,1.625,21600.0,21600.0,0.0003896989038097968,0.07184669313906866,0.9993929806022173,0.00038946234901588957,0.0718030808026667,53.5412117977154,10061.404404178593,0.5337758167358896,0.5337758167358896,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,7,1.75,1.875,21600.0,21600.0,0.0003852708939586532,0.07228723312827377,0.9993901130008215,0.00038503592224926593,0.07224314608458225,61.85798771829954,11621.85635960557,0.5737966868592036,0.5737966868592036,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,8,2.0,2.125,21600.0,21600.0,0.0003780080199163295,0.07291071880773388,0.9993854993684289,0.000377775733749352,0.07286591512497823,70.01794356728554,13195.7601263051,0.6095258730466755,0.6095258730466755,same count selection; no profile likelihood gain claimed
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,9,2.25,2.375,21600.0,21600.0,0.0003681983299118447,0.07371894686322736,0.9993791742208751,0.00036796974289680473,0.07367318024060472,77.96609001385653,14787.100819502162,0.6411567783328505,0.6411567783328505,same count selection; no profile likelihood gain claimed
