window_id,stage,source,lo_keV,hi_keV,rate_cps,prompt_cps,delayed_cps,science_focus_cps,effective_catalog_events
W1_design_passband,both,focused_eventlist_science,500.99393711182086,521.0060628881791,0.001065917945499128,0.0,0.0,0.001065917945499128,26709.186796355716
W1_design_passband,compton_fov,focused_eventlist_science,500.99393711182086,521.0060628881791,0.001065917945499128,0.0,0.0,0.001065917945499128,26709.186796355716
W1_design_passband,raw,focused_eventlist_science,500.99393711182086,521.0060628881791,0.001207676236730087,0.0,0.0,0.001207676236730087,30261.28824695015
W1_design_passband,scintillator,focused_eventlist_science,500.99393711182086,521.0060628881791,0.001207676236730087,0.0,0.0,0.001207676236730087,30261.28824695015
W2_511_pm_420eV,both,focused_eventlist_science,510.58,511.42,0.0010623163392328124,0.0,0.0,0.0010623163392328124,26618.939723440948
W2_511_pm_420eV,compton_fov,focused_eventlist_science,510.58,511.42,0.0010623163392328124,0.0,0.0,0.0010623163392328124,26618.939723440948
W2_511_pm_420eV,raw,focused_eventlist_science,510.58,511.42,0.0012033296691650694,0.0,0.0,0.0012033296691650694,30152.374342716168
W2_511_pm_420eV,scintillator,focused_eventlist_science,510.58,511.42,0.0012033296691650694,0.0,0.0,0.0012033296691650694,30152.374342716168
line_pm_1sigma,both,focused_eventlist_science,510.86,511.14,0.0007271954677389444,0.0,0.0,0.0007271954677389444,18221.664873277106
line_pm_1sigma,compton_fov,focused_eventlist_science,510.86,511.14,0.0007271954677389444,0.0,0.0,0.0007271954677389444,18221.664873277106
line_pm_1sigma,raw,focused_eventlist_science,510.86,511.14,0.000823724392464699,0.0,0.0,0.000823724392464699,20640.433684362895
line_pm_1sigma,scintillator,focused_eventlist_science,510.86,511.14,0.000823724392464699,0.0,0.0,0.000823724392464699,20640.433684362895
line_pm_2sigma,both,focused_eventlist_science,510.72,511.28,0.0010167256115973663,0.0,0.0,0.0010167256115973663,25476.552295089044
line_pm_2sigma,compton_fov,focused_eventlist_science,510.72,511.28,0.0010167256115973663,0.0,0.0,0.0010167256115973663,25476.552295089044
line_pm_2sigma,raw,focused_eventlist_science,510.72,511.28,0.0011516871655436198,0.0,0.0,0.0011516871655436198,28858.34483352759
line_pm_2sigma,scintillator,focused_eventlist_science,510.72,511.28,0.0011516871655436198,0.0,0.0,0.0011516871655436198,28858.34483352759
W1_design_passband,both,non_xray_background,500.99393711182086,521.0060628881791,0.08787762517234703,0.06383489898677153,0.0240427261855755,0.0,371.2511698310386
W1_design_passband,compton_fov,non_xray_background,500.99393711182086,521.0060628881791,0.1973680324633757,0.16423636435052505,0.03313166811285066,0.0,624.0698939137922
W1_design_passband,raw,non_xray_background,500.99393711182086,521.0060628881791,0.23552388033496455,0.1974866453500106,0.03803723498495395,0.0,715.6517704816977
W1_design_passband,scintillator,non_xray_background,500.99393711182086,521.0060628881791,0.09691374293828132,0.06926622355296241,0.02764751938531891,0.0,420.82019754181823
W2_511_pm_420eV,both,non_xray_background,510.58,511.42,0.0730017189784277,0.05892377643173457,0.014077942546693131,0.0,249.10622793301087
W2_511_pm_420eV,compton_fov,non_xray_background,510.58,511.42,0.1594291733410904,0.13806300964526608,0.021366163695824347,0.0,449.8197689522341
W2_511_pm_420eV,raw,non_xray_background,510.58,511.42,0.1880515873421412,0.16445675583201314,0.023594831510128055,0.0,500.4589127309057
W2_511_pm_420eV,scintillator,non_xray_background,510.58,511.42,0.07801126897357447,0.06231010321777386,0.01570116575580061,0.0,272.81108312378353
line_pm_1sigma,both,non_xray_background,510.86,511.14,0.04973084981712095,0.040334703381563995,0.009396146435556951,0.0,167.74529238134178
line_pm_1sigma,compton_fov,non_xray_background,510.86,511.14,0.108766832698575,0.09439746099227304,0.014369371706301953,0.0,304.79503730359875
line_pm_1sigma,raw,non_xray_background,510.86,511.14,0.1282809503762135,0.11242312062728718,0.01585782974892634,0.0,338.96958833502936
line_pm_1sigma,scintillator,non_xray_background,510.86,511.14,0.05312292442352565,0.04265272279282394,0.010470201630701701,0.0,183.5442386931902
line_pm_2sigma,both,non_xray_background,510.72,511.28,0.06967445709307435,0.05639464147733648,0.013279815615737867,0.0,236.17840658673563
line_pm_2sigma,compton_fov,non_xray_background,510.72,511.28,0.1523215143501655,0.1320841745488167,0.02023733980134879,0.0,427.9928961121972
line_pm_2sigma,raw,non_xray_background,510.72,511.28,0.17966290602820267,0.15732289521112017,0.022340010817082503,0.0,476.0760246923953
line_pm_2sigma,scintillator,non_xray_background,510.72,511.28,0.07443870143015088,0.05963561964880638,0.014803081781344509,0.0,258.5165658419856
