window,stage,plastic_on_rate_s-1,plastic_off_rate_s-1,on_minus_off_rate_s-1,on_over_off,relative_change_percent
broad_480_550,raw,1.0107428213,1.02950989809,-0.0187670767922,0.981770863178,-1.82291368
broad_480_550,active_veto_pass,0.877410789553,0.912475989865,-0.0350652003116,0.961571372068,-3.84286279
broad_480_550,side_compton_fov_pass,0.853755106502,0.88576700666,-0.0320119001581,0.963859683283,-3.61403167
w2_510p58_511p42,raw,0.892464406041,0.916037187626,-0.0235727815848,0.974266567009,-2.5733433
w2_510p58_511p42,active_veto_pass,0.838701490014,0.868284763107,-0.029583273093,0.965929065728,-3.40709343
w2_510p58_511p42,side_compton_fov_pass,0.823647873527,0.848212557547,-0.0245646840202,0.971039471414,-2.89605286
