nuclide,mass_model_Bq,geo_opt_Bq,geo_minus_mass_Bq,geo_over_mass,relative_change_percent
I-128,88.4668639531,61.8164095618,-26.6504543912,0.698752129324,-30.1247871
Al-28,17.7361314735,13.0766011997,-4.65953027373,0.737285987043,-26.2714013
Cu-64,17.0747426851,14.8507694675,-2.22397321767,0.869750703792,-13.0249296
Mg-27,5.90223548614,4.39683172928,-1.50540375686,0.744943460762,-25.5056539
Cu-66,3.95458240307,3.52798325257,-0.426599150497,0.892125360654,-10.7874639
W-187,1.05018473,1.9064144692,0.856229739201,1.81531345367,81.5313454
Cs-134,1.52780497684,1.20825996382,-0.319545013021,0.79084698776,-20.9153012
Na-24,1.11310076421,0.931137346084,-0.181963418128,0.836525655198,-16.3474345
Na-25,0.838613093691,0.569771462727,-0.268841630964,0.679421138322,-32.0578862
Mn-56,0.601005931584,0.591681444834,-0.00932448675076,0.984485200127,-1.55147999
Cs-132,0.577776152277,0.54697868256,-0.0307974697173,0.946696537066,-5.33034629
I-126,0.47710283787,0.416481214461,-0.0606216234081,0.872938036422,-12.7061964
Ag-110,0.475581501847,0.468135513811,-0.00744598803598,0.984343402746,-1.56565973
Cu-62,0.37917194758,0.339895943134,-0.0392760044454,0.896416376011,-10.3583624
C-11,0.0528803209464,0.313330081587,0.260449760641,5.92526815231,492.526815
Ag-108,0.250341760601,0.255100136981,0.00475837637927,1.01900752143,1.90075214
Cs-131,0.17544020558,0.170990076398,-0.00445012918169,0.974634496312,-2.53655037
Ne-24,0.167847749419,0.140750860284,-0.027096889135,0.838562690124,-16.143731
Si-27,0.134211717972,0.107819245514,-0.0263924724575,0.803351951258,-19.6648049
Cs-130,0.115996166909,0.133652924674,0.0176567577647,1.1522184589,15.2218459
Na-26,0.121824105005,0.11150943556,-0.0103146694445,0.915331457234,-8.46685428
I-124,0.115707791986,0.1020369308,-0.0136708611856,0.881850124776,-11.8149875
Ne-23,0.110328635952,0.0883891842133,-0.0219394517382,0.80114453923,-19.8855461
Ta-182,0.085515236574,0.0661811936505,-0.0193340429235,0.773911133289,-22.6088867
W-185,0.0539439447465,0.0501739952586,-0.00376994948791,0.930113574274,-6.98864257
Cr-51,0.036088977088,0.0454380020796,0.00934902499165,1.25905486234,25.9054862
F-18,0.0420352567918,0.044093866309,0.00205860951721,1.04897340172,4.89734017
I-125,0.0425926103361,0.0409672681563,-0.00162534217986,0.961839808196,-3.81601918
Cu-61,0.0345937173978,0.0407025579338,0.00610884053601,1.1765881494,17.6588149
B-12,0,0.0400847072402,0.0400847072402,,
Ne-25,0.0378999886977,0.0156391517324,-0.0222608369653,0.412642648977,-58.7357351
I-123,0.034594669278,0,-0.034594669278,0,-100
