dataset,event_id,primary_energy_keV,depth_from_geoopt_outer_radius_cm,r_cm,z_cm,VN,category,weight
Mass_model_511,251785,5975.75,2.16351223007,25.7364877699,0.5174764,CsI_Side_Segment_05,csi,0.125
Mass_model_511,429671,848.374,18.9157051399,8.98429486015,-17.65153,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,60889,4030.63,8.19782824893,19.7021717511,-8.834898,CsI_TopAnnulus_Segment_00,csi,0.125
Mass_model_511,149995,3333.41,16.5940988393,11.3059011607,-14.3675,Passive_W_Bottom_Plate_detector_bay,passive_w_or_collimator,0.125
Mass_model_511,470512,886.965,8.19852404447,19.7014759555,8.464557,CsI_Side_Segment_02,csi,0.125
Mass_model_511,653188,7725.12,0,45.9556843816,-22.60982,NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,0.125
Mass_model_511,215223,474.725,7.49670345377,20.4032965462,12.74056,CsI_TopAnnulus_Segment_02,csi,0.125
Mass_model_511,469621,4496.97,4.02259500498,23.877404995,7.3321,CsI_Side_Segment_02,csi,0.125
Mass_model_511,714451,6591.76,2.25322266742,25.6467773326,7.659053,CsI_Side_Segment_03_below_side_port,csi,0.125
Mass_model_511,384227,3058.84,0,38.1236970746,-22.85563,NF2_OuterSupport_Al_BaseMountAnnulus,outer_mechanics,0.125
Mass_model_511,513693,6425.6,11.605072962,16.294927038,18.78672,XS400_Group2_Cu_Coarse_SideSleeve_4K60K,passive_w_or_collimator,0.125
Mass_model_511,257,2752.06,13.4306411226,14.4693588774,-15.70707,CsI_Side_Segment_00,csi,0.125
Mass_model_511,888960,5638.78,4.44118704253,23.4588129575,9.213678,CsI_Side_Segment_05,csi,0.125
Mass_model_511,318,7725.13,0,51.7577456018,40.10442,NF2_OuterSupport_Al_TopMountAnnulus,outer_mechanics,0.125
Mass_model_511,679171,6697.51,4.2732504068,23.6267495932,-5.21789,CsI_Side_Segment_02,csi,0.125
Mass_model_511,97287,4735.5,18.5768889898,9.32311101019,-20.06548,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,68730,6891.55,3.90929392444,23.9907060756,-2.548292,CsI_Side_Segment_06,csi,0.125
Mass_model_511,547269,2360.57,18.4131875969,9.48681240312,-19.96044,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,541249,7725.11,0,29.1908168425,-3.531466,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,outer_mechanics,0.125
Mass_model_511,220711,6842.48,4.71697658608,23.1830234139,10.20377,CsI_TopAnnulus_Segment_02,csi,0.125
Mass_model_511,233631,2919.98,10.7984294199,17.1015705801,0.1077599,Cu_50mK_StillLike_Can_side_wall_below_side_port,passive_w_or_collimator,0.125
Mass_model_511,779905,3102.86,1.50875205493,26.3912479451,-2.330235,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,313222,1554.33,17.871779472,10.028220528,-21.20269,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,805801,4695.74,8.87321976692,19.0267802331,-15.44667,CsI_Bottom_Quadrant_00,csi,0.125
Mass_model_511,231031,1194.16,16.4631697772,11.4368302228,9.684372,ColdPlate_MXC_50mK_SD_anchor,cold_plates,0.125
Mass_model_511,261757,3527.31,9.25371701028,18.6462829897,-16.16602,CsI_Side_Segment_00,csi,0.125
Mass_model_511,393527,208.944,10.7546275639,17.1453724361,-19.15035,CsI_Side_Segment_00,csi,0.125
Mass_model_511,806163,2999.16,14.2427796023,13.6572203977,-18.36686,CsI_Bottom_Quadrant_03,csi,0.125
Mass_model_511,883791,1862.02,2.04113302072,25.8588669793,-1.603596,CsI_Bottom_Quadrant_01,csi,0.125
Mass_model_511,515426,2804.23,5.74151533134,22.1584846687,7.728873,CsI_Side_Segment_04_rectcut_window_band,csi,0.125
Mass_model_511,672210,1470.31,19.6179967606,8.28200323942,-23.86412,CsI_Side_Segment_07,csi,0.125
Mass_model_511,512337,364.13,21.8661756135,6.03382438652,-3.640901,NbTi_Bundle_bay_to_MXC,other_internal,0.125
Mass_model_511,645169,1881.45,25.1227050926,2.7772949074,-4.98523,TP_L4_00371,tes,0.125
Mass_model_511,671013,1254.48,7.56456296907,20.3354370309,-13.64229,CsI_Side_Segment_01,csi,0.125
Mass_model_511,622308,454.018,12.1557240401,15.7442759599,-16.01654,CsI_Side_Segment_00,csi,0.125
Mass_model_511,68784,7916.04,19.9604057511,7.9395942489,11.71127,ColdPlate_Still_0p7K,cold_plates,0.125
Mass_model_511,672736,3786.37,4.48665937754,23.4133406225,-10.25548,CsI_Side_Segment_06,csi,0.125
Mass_model_511,130774,2892.67,12.6117662662,15.2882337338,-16.30743,CsI_Side_Segment_07,csi,0.125
Mass_model_511,528493,863.105,6.42092811234,21.4790718877,9.833682,CsI_Side_Segment_05,csi,0.125
Mass_model_511,357558,1617.46,7.4476459902,20.4523540098,5.933933,CsI_Side_Segment_02,csi,0.125
Mass_model_511,358828,164.705,11.1860160241,16.7139839759,26.06758,Shield_60K_Al_side_window_side_wall_above_side_port,window,0.125
