time_bin_id,day_mid,total_activity_Bq,activity_scale_to_day15
0,0.0,72.09896440656733,0.8437640406750008
1,0.25,77.69713679554116,0.9092786648335347
2,0.5,78.0966463652613,0.9139540691421809
3,0.75,78.40423570728416,0.9175537439534621
4,1.0,78.71378220101482,0.9211763230359319
5,1.25,79.08544020054414,0.9255257843355935
6,1.5,79.56295635500894,0.931114088734902
7,1.75,80.18099909983158,0.9383469560579438
8,2.0,80.96597338091219,0.9475333996730785
9,2.25,81.93046807836949,0.9588207454738741
10,2.5,83.06185063852419,0.9720611564612254
11,2.75,84.30768368125426,0.9866409653501947
12,3.0,85.56483972345683,1.001353285709559
13,3.25,86.68325487655319,1.0144419409558025
14,3.5,87.49381310010249,1.0239277898516017
15,3.75,87.85796487273376,1.028189406833528
16,4.0,87.71849861336077,1.0265572528141886
17,4.25,87.1225530226266,1.019582985377769
18,4.5,86.2024120172606,1.0088147045977518
19,4.75,85.12701069784126,0.9962294341976983
20,5.0,84.05257607361402,0.9836554768955248
21,5.25,83.09365276789514,0.9724333323087005
22,5.5,82.31804139812206,0.9633564615278272
23,5.75,81.75704305498714,0.9567911768151887
24,6.0,81.42046866371699,0.9528522940489341
25,6.25,81.30959528536697,0.9515547584949924
26,6.5,81.4253494631386,0.9529094133581447
27,6.75,81.77121441901531,0.9569570222953936
28,7.0,82.35084160968826,0.9637403177908662
29,7.25,83.16018061213202,0.9732118983135348
30,7.5,84.1743967281311,0.9850811268828586
31,7.75,85.3320670210136,0.998629179509298
32,8.0,86.52339134725399,1.0125710805551256
33,8.25,87.5932596506938,1.025091598847317
34,8.5,88.36861191149362,1.0341654373123166
35,8.75,88.70768250691376,1.0381335328046801
36,9.0,88.55055322107312,1.0362946708706633
37,9.25,87.94208460189267,1.0291738481935366
38,9.5,87.01270531215637,1.0182974530707776
39,9.75,85.92991326540952,1.0056256900282192
40,10.0,84.84887298995902,0.9929744277187782
41,10.25,83.88336785231348,0.9816752568785648
42,10.5,83.10066394100573,0.9725153830815843
43,10.75,82.53169929934349,0.965856869897636
44,11.0,82.18606009186703,0.9618119028621668
45,11.25,82.0649181083596,0.9603941952662126
46,11.5,82.16920067636771,0.9616145994936341
47,11.75,82.50248412505339,0.9655149688216506
48,12.0,83.06858995350976,0.9721400257167051
49,12.25,83.86369992136628,0.9814450858487266
50,12.5,84.86326384574895,0.9931428418802024
51,12.75,86.00619452591323,1.006518398891934
52,13.0,87.18308457562492,1.0202913776295381
53,13.25,88.2392745831845,1.0326518207487163
54,13.5,89.00218929655878,1.0415801043453732
55,13.75,89.33052073914321,1.0454225210424215
56,14.0,89.16469578193089,1.0434818948892741
57,14.25,88.54973785582806,1.0362851287658708
58,14.5,87.61603976722074,1.0253581913473069
59,14.75,86.53090382503528,1.0126589980260685
60,15.0,85.44920253876789,1.0
61,15.25,84.48438403934989,0.9887088647903968
62,15.5,83.70336493111257,0.979568708006804
63,15.75,83.13672988414208,0.9729374577419063
64,16.0,82.7937115208446,0.9689231620772761
65,16.25,82.67513325180049,0.9675354572711334
66,16.5,82.78158833673221,0.968781286158576
67,16.75,83.11634449552464,0.9726988904058543
68,17.0,83.6829501201503,0.9793297963451881
69,17.25,84.47735610944488,0.9886266179151048
70,17.5,85.47482760998453,1.0002998866046175
71,17.75,86.61414450454201,1.0136331519916244
72,18.0,87.7858328529472,1.0273452559503897
73,18.25,88.83526176222928,1.0396265748872864
74,18.5,89.5900160232604,1.0484593578578318
75,18.75,89.90910130135056,1.0521935679921557
76,19.0,89.73339335754129,1.0501372826367767
77,19.25,89.10843560209207,1.0428234899168778
78,19.5,88.16512881807581,1.03178410328728
79,19.75,87.07120840356103,1.0189821065217928
80,20.0,86.056155939889,1.0071030902932738
