time_bin_id,day_mid,VN,ZA,nuclide,hl_s,reference_activity_Bq_day15,activity_Bq,activity_ratio_to_day15
0,0.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.174231450712002,0.9171575972289507
1,0.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.722919118840068,0.9873021230623834
2,0.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.6467132223309555,0.9775599203724996
3,0.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.591973846214125,0.9705620091651407
4,1.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.559566769545998,0.9664190710993212
5,1.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.549244312049831,0.9650994425955959
6,1.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.560814110202504,0.9665785317979767
7,1.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.59440846698216,0.9708732523901628
8,2.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.650223765628653,0.9780087101108854
9,2.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.727719735590342,0.9879158364829982
10,2.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.824312447543985,1.0002643005956857
11,2.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.9338159892855336,1.01426329211439
12,3.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.045308467214497,1.0285165503022453
13,3.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.143497882245548,1.0410691377928896
14,3.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.2115055720364,1.049763277338036
15,3.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.235786194630109,1.0528673251555984
16,4.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.21109484773255,1.0497107701227018
17,4.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.142618256664889,1.0409566859867887
18,4.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.04388076241084,1.0283340317542629
19,4.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.931790456089801,1.0140043468640634
20,5.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.821704741542288,0.9999309300615417
21,5.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.724619671793275,0.987519522664172
22,5.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.646781181333981,0.9775686082879026
23,5.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.590808100575461,0.9704129796173372
24,6.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.557249895370248,0.9661228806618212
25,6.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.545898790124361,0.9646717492779603
26,6.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.556597718337012,0.9660395060000362
27,6.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.589508731591125,0.9702468675893416
28,7.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.644851812337221,0.9773219567203592
29,7.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.72210414125541,0.9871979358907713
30,7.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.818693475577843,0.9995459682052731
31,7.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.928439748977237,1.013575990669328
32,8.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.040419294440444,1.0278915158320452
33,8.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.139326499119344,1.0405358659363242
34,8.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.208251752927374,1.0493473073576483
35,8.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.233598286097132,1.0525876217550534
36,9.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.210052521690871,1.0495775186023844
37,9.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.142725446846944,1.0409703892371642
38,9.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.045071258441583,1.0284862254054667
39,9.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.933942481305168,1.014279462922036
40,10.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.824657975830009,1.0003084731171275
41,10.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.7281898553000845,0.9879759368388843
42,10.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.650770933505546,0.978078660345792
43,10.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.595014985509241,0.9709507900440278
44,11.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.561473269783109,0.9666627991123632
45,11.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.549946356442135,0.9651891923273151
46,11.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.560291921267674,0.9665117748844232
47,11.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.5926926708418,0.9706539040911515
48,12.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.647394291012929,0.9776469885581579
49,12.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.723903756722691,0.9874279996975005
50,12.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.819682140990124,0.9996723597219421
51,12.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,7.928586427342536,1.0135947421102325
52,13.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.039734557819996,1.0278039787351647
53,13.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.137867347386395,1.0403493271960316
54,13.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.206124178921021,1.0490753171553528
55,13.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.230953838485691,1.05224955415381
56,14.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,7.822245023524668,8.207076509838528,1.0491970636507186
