source_fwhm_keV,background_fwhm_keV,opt_window_half_keV,source_acceptance,background_cps,Z20d_est,F3_20d_est_ph_cm2_s,mode
0.0,0.0,0.52,0.9997962215404385,0.048220879974582694,7.045195523315874,4.2582210672103934e-05,mass_model_511_optimized_window_scan
1.3,0.0,2.0,0.9995546507771891,0.048634732838533486,7.013461253308611,4.2774885205001253e-05,mass_model_511_optimized_window_scan
2.43,0.0,3.5,0.9992231852549452,0.04904424643962758,6.981803065932108,4.296884302908198e-05,mass_model_511_optimized_window_scan
5.36,0.0,7.1,0.9981503880216641,0.050027079082253394,6.905458692513126,4.344389176134802e-05,mass_model_511_optimized_window_scan
0.0,2.43,0.2,0.8468725489803304,0.007378477878179776,15.255757999913845,1.9664706270359972e-05,mass_model_511_optimized_window_scan
1.3,2.43,0.93,0.8975127137629941,0.030461669469414667,7.957247815994147,3.770147756325963e-05,mass_model_511_optimized_window_scan
2.43,2.43,3.2800000000000002,0.9983654408573467,0.048905580596522995,6.985692338978923,4.294492019438836e-05,mass_model_511_optimized_window_scan
5.36,2.43,7.1,0.9981503880216641,0.05002707908180908,6.905458692543791,4.34438917611551e-05,mass_model_511_optimized_window_scan
