threshold_keV,component,raw_events,active_pass_events,final_pass_events,raw_rate_cps,active_pass_rate_cps,final_pass_rate_cps,delta_final_events_vs_50keV,delta_final_rate_cps_vs_50keV,relative_final_rate_vs_50keV,active_rejection_fraction,final_survival_fraction,priority_counts_json,active_by_entry_json,final_by_entry_json
10.0,atm511,114,114,107,0.022151492894034255,0.022151492894034255,0.02079131350580408,0,0.0,1.0,0.0,0.9385964912280702,"{""compton_fov_veto"": 7, ""final_pass"": 107}","{""bottom"": 7, ""side_wall"": 80, ""side_window"": 2, ""top"": 25}","{""bottom"": 7, ""side_wall"": 74, ""side_window"": 2, ""top"": 24}"
10.0,eplus,62,28,24,0.04210037408219486,0.019013072166152514,0.016296918999559297,-11,-0.007469421208131346,0.6857142857142857,0.5483870967741935,0.3870967741935484,"{""compton_fov_veto"": 4, ""final_pass"": 24, ""plastic_skin_veto"": 34}","{""envelope_miss"": 13, ""side_wall"": 5, ""side_window"": 1, ""top"": 9}","{""envelope_miss"": 11, ""side_wall"": 5, ""side_window"": 1, ""top"": 7}"
10.0,n,60,12,12,0.0407117775779885,0.0081423555155977,0.0081423555155977,-1,-0.0006785296262998078,0.9230769230769231,0.8,0.2,"{""final_pass"": 12, ""non_plastic_active_veto"": 39, ""plastic_skin_veto"": 9}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}","{""bottom"": 1, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}"
10.0,science_signal,30304,30304,29684,0.814755068021724,0.814755068021724,0.7980857127496964,0,0.0,1.0,0.0,0.9795406546990496,"{""active_veto_false_veto_events"": 0, ""side_compton_fov_veto_events"": 620}",,
20.0,activation,42,30,26,0.004512400534677949,0.003223143239055678,0.002793390807181588,0,0.0,1.0,0.2857142857142857,0.6190476190476191,"{""compton_fov_veto"": 4, ""final_pass"": 26, ""non_plastic_active_veto"": 10, ""plastic_skin_veto"": 2}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 14, ""side_window"": 1, ""top"": 8}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 12, ""side_window"": 1, ""top"": 6}"
20.0,atm511,114,114,107,0.022151492894034255,0.022151492894034255,0.02079131350580408,0,0.0,1.0,0.0,0.9385964912280702,"{""compton_fov_veto"": 7, ""final_pass"": 107}","{""bottom"": 7, ""side_wall"": 80, ""side_window"": 2, ""top"": 25}","{""bottom"": 7, ""side_wall"": 74, ""side_window"": 2, ""top"": 24}"
20.0,eplus,62,36,31,0.04210037408219486,0.02444537849933895,0.02105018704109743,-4,-0.002716153166593214,0.8857142857142858,0.4193548387096774,0.5,"{""compton_fov_veto"": 5, ""final_pass"": 31, ""plastic_skin_veto"": 26}","{""envelope_miss"": 13, ""side_wall"": 12, ""side_window"": 1, ""top"": 10}","{""envelope_miss"": 11, ""side_wall"": 11, ""side_window"": 1, ""top"": 8}"
20.0,n,60,13,13,0.0407117775779885,0.008820885141897508,0.008820885141897508,0,0.0,1.0,0.7833333333333333,0.21666666666666667,"{""final_pass"": 13, ""non_plastic_active_veto"": 40, ""plastic_skin_veto"": 7}","{""bottom"": 2, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}","{""bottom"": 2, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}"
20.0,science_signal,30304,30304,29684,0.814755068021724,0.814755068021724,0.7980857127496964,0,0.0,1.0,0.0,0.9795406546990496,"{""active_veto_false_veto_events"": 0, ""side_compton_fov_veto_events"": 620}",,
50.0,activation,42,30,26,0.004512400534677949,0.003223143239055678,0.002793390807181588,0,0.0,1.0,0.2857142857142857,0.6190476190476191,"{""compton_fov_veto"": 4, ""final_pass"": 26, ""non_plastic_active_veto"": 10, ""plastic_skin_veto"": 2}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 14, ""side_window"": 1, ""top"": 8}","{""bottom"": 5, ""envelope_miss"": 2, ""side_wall"": 12, ""side_window"": 1, ""top"": 6}"
50.0,atm511,114,114,107,0.022151492894034255,0.022151492894034255,0.02079131350580408,0,0.0,1.0,0.0,0.9385964912280702,"{""compton_fov_veto"": 7, ""final_pass"": 107}","{""bottom"": 7, ""side_wall"": 80, ""side_window"": 2, ""top"": 25}","{""bottom"": 7, ""side_wall"": 74, ""side_window"": 2, ""top"": 24}"
50.0,eplus,62,40,35,0.04210037408219486,0.027161531665932166,0.023766340207690643,0,0.0,1.0,0.3548387096774194,0.5645161290322581,"{""compton_fov_veto"": 5, ""final_pass"": 35, ""plastic_skin_veto"": 22}","{""envelope_miss"": 13, ""side_wall"": 13, ""side_window"": 1, ""top"": 13}","{""envelope_miss"": 11, ""side_wall"": 12, ""side_window"": 1, ""top"": 11}"
50.0,n,60,13,13,0.0407117775779885,0.008820885141897508,0.008820885141897508,0,0.0,1.0,0.7833333333333333,0.21666666666666667,"{""final_pass"": 13, ""non_plastic_active_veto"": 42, ""plastic_skin_veto"": 5}","{""bottom"": 2, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}","{""bottom"": 2, ""envelope_miss"": 3, ""side_wall"": 2, ""top"": 6}"
50.0,science_signal,30304,30304,29684,0.814755068021724,0.814755068021724,0.7980857127496964,0,0.0,1.0,0.0,0.9795406546990496,"{""active_veto_false_veto_events"": 0, ""side_compton_fov_veto_events"": 620}",,
