family,window,stage,group_by,group_value,events,fraction_of_stage
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00269,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00369,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00306,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00305,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00355,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00132,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00320,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00194,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00229,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00276,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00194,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00143,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00292,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00058,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00030,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00052,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00354,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00344,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00170,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00068,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00255,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00280,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00091,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00098,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00257,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00373,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00261,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L4_00022,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00205,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00206,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00294,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00372,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00244,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00360,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00301,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00342,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L3_00258,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00363,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00235,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00337,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00073,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00188,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00128,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00002,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00198,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00363,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L5_00188,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L2_00320,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L1_00155,1,0.009345794392523364
atm511,w2_510p58_511p42,side_compton_fov_pass,first_hit_volume,TP_L0_00277,1,0.009345794392523364
