selection_id,time_bin_id,time_mid_s,day_mid,dt_s,prompt_scale_to_day15,delayed_activity_scale_to_day15,science_atm_scale_to_day15,T_atm_511,prompt_event_rate_hz,delayed_event_rate_hz,prompt_raw_cps,delayed_raw_cps,background_raw_cps,science_raw_cps_at_ref_flux,prompt_active_cps,delayed_active_cps,background_active_cps,science_active_cps_at_ref_flux,prompt_final_cps,delayed_final_cps,background_final_cps,science_final_cps_at_ref_flux,claim_level
broad_480_550,0,0.0,0.0,10800.0,0.9995980883233027,0.817307537464289,1.0,0.7390423888027,735.9429827419606,14.46855178460438,0.37982753662122865,0.08814858930637173,0.4679761259276004,0.0012090615234029965,0.0,0.06808224377321398,0.06808224377321398,0.0012090615234029965,0.0,0.05948238140186063,0.05948238140186063,0.001183280768712488,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,1,21600.0,0.25,21600.0,0.987358392119787,0.8852530853580667,1.033008816969226,0.7634373037471879,726.9316424472026,15.671371571736703,0.3751766937351927,0.09547668053512381,0.4706533742703165,0.0012489712139335395,0.0,0.07374215163281925,0.07374215163281925,0.0012489712139335395,0.0,0.06442735353183156,0.06442735353183156,0.0012223394670301236,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,2,43200.0,0.5,21600.0,0.9775859608713237,0.8927877810819131,1.0605306589851686,0.7837771116149006,719.736798553795,15.804756044856742,0.37146336281623277,0.09628931564304222,0.467752678459275,0.0012822468141681918,0.0,0.07436979663487005,0.07436979663487005,0.0012822468141681918,0.0,0.0649757170599391,0.0649757170599391,0.0012549055334071318,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,3,64800.0,0.75,21600.0,0.9706063435772849,0.89867065833337,1.0809072123607733,0.7988362482971733,714.5981328942916,15.908898867788793,0.36881124605618526,0.09692379814443616,0.4657350442006214,0.0013068833208342027,0.0,0.07485984409529627,0.07485984409529627,0.0013068833208342027,0.0,0.065403863788522,0.065403863788522,0.0012790167171491283,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,4,86400.0,1.0,21600.0,0.9664823980807905,0.9042127827113374,1.093330335569814,0.808017462949973,711.5619238570713,16.007009444143097,0.3672442281943153,0.09752152962650955,0.46476575782082485,0.0013219036411067488,0.0,0.07532150662210091,0.07532150662210091,0.0013219036411067488,0.0,0.0658072110487829,0.0658072110487829,0.001293716759929732,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,5,108000.0,1.25,21600.0,0.9651818096122368,0.9101874438186207,1.0974945300661616,0.8110949791979928,710.6043800521679,16.112777089323988,0.36675003025622466,0.0981659112381421,0.46491594149436677,0.0013269384084482491,0.0,0.07581919973677646,0.07581919973677646,0.0013269384084482491,0.0,0.0662420376647626,0.0662420376647626,0.0012986441711944385,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,6,129600.0,1.5,21600.0,0.9666800367242471,0.9171428864070572,1.093330335569814,0.808017462949973,711.7074331117103,16.235907216800676,0.367319326976478,0.09891607249821603,0.46623539947469406,0.0013219036411067488,0.0,0.076398592579923,0.076398592579923,0.0013219036411067488,0.0,0.06674824404351166,0.06674824404351166,0.001293716759929732,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,7,151200.0,1.75,21600.0,0.9709942780162459,0.9255113443860595,1.0809072123607733,0.7988362482971733,714.8837453133751,16.38405153466924,0.36895865348327256,0.09981863087643353,0.4687772843597061,0.0013068833208342027,0.0,0.07709569051431862,0.07709569051431862,0.0013068833208342027,0.0,0.06735728750198364,0.06735728750198364,0.0012790167171491283,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,8,172800.0,2.0,21600.0,0.9781496956660047,0.9356252198885974,1.0605306589851682,0.7837771116149004,720.1518420308878,16.563094458836453,0.3716775709073372,0.10090943674460764,0.47258700765194483,0.0012822468141681913,0.0,0.07793818285152627,0.07793818285152627,0.0012822468141681913,0.0,0.06809335975449138,0.06809335975449138,0.0012549055334071314,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,9,194400.0,2.25,21600.0,0.9880765706559972,0.9476559791086596,1.0330088169692258,0.7634373037471877,727.4603934124694,16.776071404238944,0.37544958739860546,0.102206983145346,0.47765657054395144,0.0012489712139335393,0.0,0.07894035283583638,0.07894035283583638,0.0012489712139335393,0.0,0.06896893984604652,0.06896893984604652,0.0012223394670301234,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,10,216000.0,2.5,21600.0,1.0004427595978038,0.9614848518165194,1.0,0.7390423888027,736.5648625799219,17.020879816892442,0.3801484950276084,0.1036984604228922,0.4838469554505006,0.0012090615234029965,0.0,0.08009230683068914,0.08009230683068914,0.0012090615234029965,0.0,0.06997538386260209,0.06997538386260209,0.001183280768712488,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,11,237600.0,2.75,21600.0,1.0144542423095344,0.9765365268137485,0.9642708909886071,0.7126370627291281,746.8806609992694,17.287335134089318,0.3854725818030587,0.10532181987681342,0.49079440167987215,0.00116586283243185,0.0,0.08134612104306732,0.08134612104306732,0.00116586283243185,0.0,0.07107082154289039,0.07107082154289039,0.0011410032011360748,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,12,259200.0,3.0,21600.0,1.0287105093605544,0.9916542628558721,0.9296510660150816,0.6870515445807625,757.3766791678238,17.554959910278296,0.3908896817942023,0.1069523041737694,0.4978419859679717,0.0011240053341094144,0.0,0.08260543818299268,0.08260543818299268,0.0011240053341094144,0.0,0.07217106704408834,0.07217106704408834,0.0011000382280287099,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,13,280800.0,3.25,21600.0,1.0412526482439335,1.0051411475929468,0.9005490103995397,0.6655438918795834,766.6106895242067,17.793714211794672,0.39565544692689275,0.10840689722377259,0.5040623441506653,0.0010888191584127284,0.0,0.0837289043598244,0.0837289043598244,0.0010888191584127284,0.0,0.07315262170384658,0.07315262170384658,0.0010656023252888379,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,14,302400.0,3.5,21600.0,1.0499213172045039,1.0150761280569998,0.8811061237734871,0.6511747745022454,772.9929007006465,17.96959021040488,0.39894936997010433,0.10947840883054141,0.5084277788006457,0.0010653115122892815,0.0,0.08455649462521496,0.08455649462521496,0.0010653115122892815,0.0,0.0738756742515036,0.0738756742515036,0.0010425959314559724,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,15,324000.0,3.75,21600.0,1.0529876305340695,1.0198785538156792,0.8742699771764703,0.6461225723909806,775.250439809757,18.05460612252622,0.4001145084913587,0.10999636203233072,0.5101108705236894,0.001057046190470486,0.0,0.0849565397810685,0.0849565397810685,0.001057046190470486,0.0,0.07422518738767037,0.07422518738767037,0.0010345068506556231,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,16,345600.0,4.0,21600.0,1.049788246378433,1.0188879199469314,0.8811061237734871,0.6511747745022454,772.8949287839346,18.037069226348766,0.3988988056836645,0.10988951978012276,0.5087883254637873,0.0010653115122892815,0.0,0.08487401934237129,0.08487401934237129,0.0010653115122892815,0.0,0.07415309058333491,0.07415309058333491,0.0010425959314559724,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,17,367200.0,4.25,21600.0,1.0409953666214347,1.0126297392683985,0.9005490103995397,0.6655438918795834,766.421268789135,17.926282518684616,0.3955576849903373,0.10921455989886611,0.5047722448892034,0.0010888191584127284,0.0,0.08435270886497793,0.08435270886497793,0.0010888191584127284,0.0,0.0736976298504544,0.0736976298504544,0.0010656023252888379,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,18,388800.0,4.5,21600.0,1.0283453370546611,1.0026015964932553,0.9296510660150816,0.6870515445807625,757.1078251162272,17.7487572954428,0.39075092352824525,0.10813300051213358,0.49888392404037885,0.0011240053341094144,0.0,0.0835173581191276,0.0835173581191276,0.0011240053341094144,0.0,0.07296779709355358,0.07296779709355358,0.0011000382280287099,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,19,410400.0,4.75,21600.0,1.0140028088714788,0.9907245120209381,0.9642708909886073,0.7126370627291283,746.5482981478464,17.53850080830579,0.38530104601009546,0.1068520283036115,0.492153074313707,0.0011658628324318504,0.0,0.08252798934018779,0.08252798934018779,0.0011658628324318504,0.0,0.07210340121300617,0.07210340121300617,0.001141003201136075,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,20,432000.0,5.0,21600.0,0.999929891698667,0.9787818975903791,1.0,0.7390423888027,736.1872692893259,17.327084263845432,0.3799536153524501,0.10556398853103116,0.48551760388348125,0.0012090615234029965,0.0,0.0815331618735607,0.0815331618735607,0.0012090615234029965,0.0,0.07123423616321618,0.07123423616321618,0.001183280768712488,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,21,453600.0,5.25,21600.0,0.9875286583143214,0.96808824667097,1.033008816969226,0.7634373037471879,727.056999040547,17.137777748241795,0.3752413915272306,0.10441065248569721,0.4796520440129278,0.0012489712139335395,0.0,0.08064237387106699,0.08064237387106699,0.0012489712139335395,0.0,0.07045596875051116,0.07045596875051116,0.0012223394670301236,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,22,475200.0,5.5,21600.0,0.9775935432010111,0.959428962470744,1.0605306589851686,0.7837771116149006,719.7423809597555,16.984485020442804,0.37146624395180183,0.10347672779803185,0.4749429717498337,0.0012822468141681918,0.0,0.0799210499253092,0.0799210499253092,0.0012822468141681918,0.0,0.06982575940842804,0.06982575940842804,0.0012549055334071318,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,23,496800.0,5.75,21600.0,0.9704562295148899,0.9531745876457289,1.0809072123607733,0.7988362482971733,714.4876130842589,16.873765686669365,0.3687542056764589,0.10280217838725701,0.4715563840637159,0.0013068833208342027,0.0,0.07940005647796278,0.07940005647796278,0.0013068833208342027,0.0,0.0693705756596938,0.0693705756596938,0.0012790167171491283,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
broad_480_550,24,518400.0,6.0,21600.0,0.9661851811290609,0.9494500839948177,1.093330335569814,0.808017462949973,711.3431011797048,16.807831908409657,0.3671312916211703,0.10240048168479805,0.46953177330596835,0.0013219036411067488,0.0,0.0790898029272831,0.0790898029272831,0.0013219036411067488,0.0,0.06909951203120523,0.06909951203120523,0.001293716759929732,V3P5_L1_RATE_FOLD_1OF10_NO_NEW_TRANSPORT
