raw_volume,ZA,exc_keV_decimal,custom_activity_Bq,native_store_activity_Bq,relative_delta,status
ActiveShield_Flex_Kapton_detector_bay_above_side_port,6011,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
ActiveShield_Flex_Kapton_detector_bay_above_side_port,6014,0,0.000000047457815353948376052363818029999999999999999999999999999999999999999999999999998,0.00000004745781535394837605236381803,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042142689988649146953761437438079806893017705467138278698599294563941075747514914,PASS
ActiveShield_Flex_Kapton_detector_bay_below_side_port,6014,0,0.00000005423750326165528691698722058,0.00000005423750326165528691698722058,0,PASS
ActiveShield_Flex_Kapton_detector_bay_rectcut_window_band,4007,0,0.0001204172268851664369790892701,0.0001204172268851664369790892701,0,PASS
ActiveShield_Flex_Kapton_detector_bay_rectcut_window_band,6011,0,0.0013573254580626014308663427579,0.0013573254580626014308663427579,0,PASS
ActiveShield_Flex_Kapton_detector_bay_rectcut_window_band,6014,0,0.0000000271187516308276434584936103,0.0000000271187516308276434584936103,0,PASS
ColdPlate_4K,2006,0,0.0006787801777182261301859654053,0.0006787801777182261301859654053,0,PASS
ColdPlate_4K,23048,0,0.0003246335006272442036965789783,0.0003246335006272442036965789783,0,PASS
ColdPlate_4K,24051,0,0.0004247581459553599355373962342,0.0004247581459553599355373962342,0,PASS
ColdPlate_4K,25052,0,0.0005728755706061003934884080717,0.0005728755706061003934884080717,0,PASS
ColdPlate_4K,25053,0,0.000000000010442602931470465665406915445,0.000000000010442602931470465665406915445,0,PASS
ColdPlate_4K,25054,0,0.00002223381001138362575242189774,0.00002223381001138362575242189774,0,PASS
ColdPlate_4K,25056,0,0.0006785452803443753006803773526,0.0006785452803443753006803773526,0,PASS
ColdPlate_4K,26055,0,0.000006974356681297300287599161299,0.000006974356681297300287599161299,0,PASS
ColdPlate_4K,27055,0,0.000678544834113591058401713734,0.000678544834113591058401713734,0,PASS
ColdPlate_4K,27056,0,0.0001709236407723479227354060177,0.0001709236407723479227354060177,0,PASS
ColdPlate_4K,27057,0,0.00005093941257312969962545517998,0.00005093941257312969962545517998,0,PASS
ColdPlate_4K,27058,0,0.00055589110622737114996627771071,0.00055589110622737114996627771071,0,PASS
ColdPlate_4K,27060,0,0.00001827754517661785547536964751,0.00001827754517661785547536964751,0,PASS
ColdPlate_4K,27061,0,0.002036340533154678390557896216,0.002036340533154678390557896216,0,PASS
ColdPlate_4K,27062,0,0.0006753252366339629165406059558,0.0006753252366339629165406059558,0,PASS
ColdPlate_4K,27064,0,0.0006753252366339629165406059558,0.0006753252366339629165406059558,0,PASS
ColdPlate_4K,28057,0,0.0006781669728422300372446683514,0.0006781669728422300372446683514,0,PASS
ColdPlate_4K,28059,0,0.0000000033391097793460514401474686837999999999999999999999999999999999999999999999999997,0.0000000033391097793460514401474686838,0.000000000000000000000000000000000000000000000000000000000000000000000000000000089844305765458706891114013505943832406597289878776813314116310022333231103958302,PASS
ColdPlate_4K,28063,0,0.0000047705138121909372096603698724999999999999999999999999999999999999999999999999992,0.0000047705138121909372096603698725,0.000000000000000000000000000000000000000000000000000000000000000000000000000000167696820823706366194461087793888842138888732028493981055158481851741870145148,PASS
ColdPlate_4K,28065,0,0.0013541054143521890467265713611,0.0013541054143521890467265713611,0,PASS
ColdPlate_4K,29060,0,0.0013573254580626014308663427579,0.0013573254580626014308663427579,0,PASS
ColdPlate_4K,29061,0,0.005429066934876554893959782979,0.005429066934876554893959782979,0,PASS
