production_tag,raw_volume,ZA,exc_keV_decimal,direct_activity_Bq,tag_native_activity_Bq,relative_delta_vs_direct,classification
alpha,CsI_Bottom_Quadrant_02,53125,0,0.0001089957958824253357549497895,0.000108971,0.00022749393428057792146968647603202566934424343883112352029599519865985940070643518,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_Bottom_Quadrant_02,53126,0,0.0003749950805727525390322764552,0.000374995,0.00000021486349211826636711906038361031636066503115800391430593253647210731274493084906,MATCH
alpha,CsI_Bottom_Quadrant_02,55132,0,0.0005422924013380702811735609436,0.000542292,0.00000074007688341363197688971628448190435676566691042779590627911641103085365440897483,MATCH
alpha,CsI_Bottom_Quadrant_02,56132,0,0,0,0,MATCH
alpha,CsI_Bottom_Quadrant_03,51114,0,0,0.000678708,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Bottom_Quadrant_03,51114,45.86,0,0.000126631,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Bottom_Quadrant_03,51114,54.64,0,0.0000939617,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Bottom_Quadrant_03,51114,83.84,0,0.0000125441,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Bottom_Quadrant_03,51118,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Bottom_Quadrant_03,52114,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Bottom_Quadrant_03,53126,0,0.0003749950805727525390322764552,0.000374995,0.00000021486349211826636711906038361031636066503115800391430593253647210731274493084906,MATCH
alpha,CsI_Bottom_Quadrant_03,55131,0,0.0004466220274868972767674135128,0.000446622,0.000000061543980334856652930669372688851285140923234279399871555058876152564497397165893,MATCH
alpha,CsI_Bottom_Quadrant_03,55132,0,0.0005422924013380702811735609436,0.000542292,0.00000074007688341363197688971628448190435676566691042779590627911641103085365440897483,MATCH
alpha,CsI_Bottom_Quadrant_03,56132,0,0,0,0,MATCH
alpha,CsI_Side_Segment_00,53126,0,0.0003749950805727525390322764552,0.000374995,0.00000021486349211826636711906038361031636066503115800391430593253647210731274493084906,MATCH
alpha,CsI_Side_Segment_01,47107,125.59,0,0.000000447608,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,47107,93.12,0,0.00067827,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,48107,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_01,52123,0,0,-0.000000000000000000121376,Infinity,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_Side_Segment_01,52123,247.47,0,0.00000000185356,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,52123,489.81,0,0.000000065946,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,52127,0,0.001357408327425121691656553975,0.00135741,0.0000012321825677031638751788168635440009240976182892424612845952824141294542053432425,ACTIVITY_DIFFERENCE_DECAY_CHAIN_OR_HALF_LIFE_DATA
alpha,CsI_Side_Segment_01,53123,0,0,0.000678702,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,53123,148.92,0,0.000474706,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,53127,57.61,0,0.00000194916,Infinity,PARENT_DAUGHTER_FEEDING_OR_NATIVE_DECAY_PRODUCT
alpha,CsI_Side_Segment_01,54123,0,0.0006787041637143035545094462046,0.000678704,0.00000024121600000000000000007282158243426493439999999999469701585260493265309696000039,MATCH
alpha,CsI_Side_Segment_01,54134,0,0,0,0,MATCH
alpha,CsI_Side_Segment_01,55132,0,0.0005422924013380702811735609436,0.000542292,0.00000074007688341363197688971628448190435676566691042779590627911641103085365440897483,MATCH
