cut_id,radius_cm,signal_cps_at_reference_flux,signal_response_cps_per_ph_cm2_s,signal_psf_fraction,prompt_cps,delayed_cps,background_cps,Z20d_at_reference_flux,T3_day_constant_rate,T3_status,flux_3sigma_20d_ph_cm2_s,Z20d_time_dependent_at_reference_flux,T3_day_time_dependent,T5_day_time_dependent,T3_time_dependent_status,T5_time_dependent_status,flux_3sigma_20d_time_dependent_ph_cm2_s,total_source_counts_time_dependent,total_background_counts_time_dependent
spot_r50,0.7207108448941753,0.0005311780698844835,5.311780698844835,0.5000187329022138,0.008806038179531845,0.0015160781047454778,0.010322116284277323,6.872703876984124,3.810809517721616,mission_internal_crossing,4.365094224482226e-05,6.814955621889732,3.592265634817846,10.669096078536286,mission_internal_crossing,mission_internal_crossing,4.402082957611578e-05,910.6805924763745,17856.901318665674
spot_r68,0.8494856401373088,0.000722379886742277,7.22379886742277,0.6800044958962064,0.014902525995171308,0.002727064775281771,0.01762959077045308,7.151817091779785,3.5191656301847867,mission_internal_crossing,4.194738150459922e-05,7.0921970410792605,3.1857012646343756,9.919882791398342,mission_internal_crossing,mission_internal_crossing,4.2300009187892964e-05,1238.4873934922405,30494.505452236128
spot_r90,1.0516422148529696,0.0009560886853642319,9.560886853642318,0.9000037465815031,0.01896624026612012,0.0042848093085275174,0.023251049574647638,8.242306621656603,2.6495674010041586,mission_internal_crossing,3.639757822303676e-05,8.175664736254516,2.23642521203323,7.059479951601939,mission_internal_crossing,mission_internal_crossing,3.669426397460591e-05,1639.170477495067,40197.78281930363
spot_r95,1.1376384250741831,0.001009222412568957,10.092224125689569,0.9500206061951846,0.02370795302705487,0.005132768456539036,0.028840721483593904,7.811882375779359,2.949586345973416,mission_internal_crossing,3.8403035986581944e-05,7.748302125446336,2.5261688206758506,7.886601682104482,mission_internal_crossing,mission_internal_crossing,3.871815981655707e-05,1730.26583122795,49866.9228476996
spot_r99,1.3096744782126644,0.0010517293943352584,10.517293943352584,0.9900340938885033,0.03386815572465535,0.007222727340875443,0.04109088306553079,6.820294749700242,3.86960127564624,mission_internal_crossing,4.3986368772872355e-05,6.7646579621358915,3.6681562875377485,10.798631201625568,mission_internal_crossing,mission_internal_crossing,4.4348140242892226e-05,1803.142114218579,71050.67837244988
spot_rmax,1.7142688803114021,0.001062316339232761,10.62316339232761,1.0,0.0582463888934757,0.013762178321207677,0.07200856721468338,5.2039563552697565,6.646686788326864,mission_internal_crossing,5.7648446589335195e-05,5.16218232301752,6.459488253365283,18.465894039118094,mission_internal_crossing,mission_internal_crossing,5.811495627776219e-05,1821.2929487473266,124478.09513219846
full_aperture_1p8,1.8,0.001062316339232761,10.62316339232761,1.0,0.05892377643173456,0.014077942546693124,0.0730017189784277,5.168436526441243,6.738358779066554,mission_internal_crossing,5.804463273665601e-05,5.127023293164829,6.533809567695711,18.82705084110543,mission_internal_crossing,mission_internal_crossing,5.851348489092096e-05,1821.2929487473266,126191.18868971067
