band,stage,baseline_events,candidate_events,baseline_acceptance_fraction,candidate_acceptance_fraction,absolute_delta_fraction,delta_sigma_fraction_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi
all_50_8000,raw,35130,35230,0.9445071785771899,0.9471957842662795,0.0026886056890895738,0.007131650123196367,0.37699629716054484,0.0028465698832905667,0.00755065740626717,-0.011952718632993086,0.017645858399574218
all_50_8000,active_veto_pass,33601,34083,0.9033983975910093,0.9163574770124213,0.012959079421412056,0.006994716575539765,1.8526954282507202,0.014344811166334336,0.007742671001179311,-0.0008308239959771129,0.029520446328645783
all_50_8000,side_compton_fov_pass,32633,33047,0.8773726945206216,0.8885035220734527,0.011130827552831124,0.006890388118359455,1.6154137273012255,0.012686544295651666,0.007853433508235882,-0.002706185380490663,0.028079273971793994
b480_550,raw,30420,30364,0.8178738506210679,0.8163682314351777,-0.0015056191858902057,0.006628599067047362,-0.22713987837566824,-0.0018408941485864665,0.008104671719255739,-0.017726050718327713,0.014044262421154781
b480_550,active_veto_pass,30420,30364,0.8178738506210679,0.8163682314351777,-0.0015056191858902057,0.006628599067047362,-0.22713987837566824,-0.0018408941485864665,0.008104671719255739,-0.017726050718327713,0.014044262421154781
b480_550,side_compton_fov_pass,29822,29732,0.8017959886003119,0.7993762434801313,-0.0024197451201806164,0.006561189505252712,-0.36879671258442287,-0.0030179062437126233,0.008183115902969934,-0.019056813413533696,0.013021000926108448
w2_510p58_511p42,raw,30364,30305,0.8163682314351777,0.8147819540786149,-0.001586277356562804,0.006622325625135025,-0.2395347867737115,-0.001943090501910056,0.008111934504718487,-0.017842482131158292,0.013956301127338179
w2_510p58_511p42,active_veto_pass,30364,30305,0.8163682314351777,0.8147819540786149,-0.001586277356562804,0.006622325625135025,-0.2395347867737115,-0.001943090501910056,0.008111934504718487,-0.017842482131158292,0.013956301127338179
w2_510p58_511p42,side_compton_fov_pass,29779,29687,0.8006398881540033,0.7981663709200408,-0.0024735172339624967,0.006556340140580412,-0.377271035505416,-0.0030894254340307296,0.008188875220415321,-0.01913962086604476,0.012960769997983299
