quantity,mode,band,stage,baseline_events,candidate_events,baseline_rate_s-1,candidate_rate_s-1,baseline_sigma_s-1,candidate_sigma_s-1,absolute_delta_s-1,delta_sigma_s-1_independent,z_delta_independent,relative_delta,relative_delta_sigma_independent,relative_delta_ci95_lo,relative_delta_ci95_hi,transport_stage,filter_stage,baseline_acceptance_fraction,candidate_acceptance_fraction,absolute_delta_fraction,delta_sigma_fraction_independent,baseline_proxy,candidate_proxy,absolute_delta,note
prompt instant final W2,instant,w2_510p58_511p42,side_compton_fov_pass,3,4,0.020383398129891168,0.027149477969517697,0.01176836039729198,0.013574863532931577,0.006766079839626529,0.017965834975816344,0.3766081481174847,0.33194071942815234,0.8813954798572278,-1.3955944210920141,2.0594758599483187,,,,,,,,,,
prompt buildup final W2,buildup,w2_510p58_511p42,side_compton_fov_pass,3,4,0.020383398129891168,0.027149477969517697,0.01176836039729198,0.013574863532931577,0.006766079839626529,0.017965834975816344,0.3766081481174847,0.33194071942815234,0.8813954798572278,-1.3955944210920141,2.0594758599483187,,,,,,,,,,
delayed S1 final W2,,w2_510p58_511p42,,13,27,0.0010787042172929135,0.0036629223164114087,0.00029917872050068064,0.0007049297284669381,0.002584218099118495,0.0007657896766586081,3.374579441178011,2.395668856847318,0.7099162721180536,1.004232963495933,3.7871047501987034,S1,side_compton_fov_pass,,,,,,,,
total instant+S1 final W2,,,,16,31,0.02146210234718408,0.030812400285929107,0.011772162687771126,0.013593154374897389,0.009350297938745027,0.017982148375740387,0.5199766870659047,0.43566551810670245,0.8378558672794569,-1.2065319817610332,2.077863017974438,,,,,,,,,,
total buildup+S1 final W2,,,,16,31,0.02146210234718408,0.030812400285929107,0.011772162687771126,0.013593154374897389,0.009350297938745027,0.017982148375740387,0.5199766870659047,0.43566551810670245,0.8378558672794569,-1.2065319817610332,2.077863017974438,,,,,,,,,,
signal final W2 acceptance,,w2_510p58_511p42,side_compton_fov_pass,29779,29687,,,,,,,-0.377271035505416,-0.0030894254340307296,0.008188875220415321,-0.01913962086604476,0.012960769997983299,,,0.8006398881540033,0.7981663709200408,-0.0024735172339624967,0.006556340140580412,,,,
sensitivity proxy instant+S1,,,,,,,,,,,,,-0.1679880424868219,,,,,,,,,,5.4651374896259854,4.547059740822372,-0.9180777488036131,"Smoke proxy only: acceptance/sqrt(background rate), not a regenerated Step08 mission significance."
