particle,events,rate_cps,mc_sigma_cps,fraction_of_prompt
eplus,45,0.03052991796271818,0.004551131460808657,0.6924619274878394
n,18,0.012209929385908388,0.0028779079555282397,0.27693855081370694
muplus,2,0.0013491007231854425,0.0009539582698681018,0.030599521698454462
