ZA,nuclide,events,rate_cps,fraction_of_delayed
29064,Cu-64,25,0.0035576792121351105,0.8928571428571429
29061,Cu-61,2,0.000284614336970809,0.07142857142857147
29062,Cu-62,1,0.0001423071684854045,0.03571428571428573
