component,stage,s1_events,s2b_events,s1_rate_cps,s2b_rate_cps,s2b_over_s1_ratio,counting_only_1sigma
eplus,raw,62,52,0.04210037408219486,0.035262509036017936,0.8375818458803481,0.1575005826671149
eplus,active_veto_pass,40,28,0.027161531665932173,0.018987504865548118,0.6990586944462903,0.17224994288591405
eplus,side_compton_fov_pass,35,27,0.023766340207690653,0.01830937969177854,0.7703912142877484,0.19732915758454186
n,raw,60,42,0.0407117775779885,0.028492657035244062,0.6998627603686136,0.14080325700510507
n,active_veto_pass,13,5,0.008820885141897508,0.003391982980386198,0.38453997822451297,0.20235832298757572
n,side_compton_fov_pass,13,5,0.008820885141897508,0.003391982980386198,0.38453997822451297,0.20235832298757572
