run,description,phi_ref_ph_cm2_s,eta,r0,Rc_GV,depth_g_cm2,f_R,g_X,phi_4pi_ph_cm2_s,phi_up_ph_cm2_s,phi_down_ph_cm2_s,r_down,bin_flux_sum_ph_cm2_s
S0,no ATM511 control,0.0,,,11.0,3.4614689720143224,0.532,0.0,0.0,0.0,0.0,0.0,0.0
S1,nominal,0.1,0.8,0.2,11.0,3.4614689720143224,0.532,0.9690950021283793,0.051555854113229785,0.043102786967389235,0.008453067145840553,0.19611416663697373,0.05155585411302482
S2,conservative low,0.03,0.5,0.05,11.0,3.4614689720143224,0.532,0.9805708331848686,0.015649910497630506,0.014918479217807664,0.0007314312798228404,0.04902854165924343,0.015649910497612766
S3,conservative high,0.2,1.0,0.5,11.0,3.4614689720143224,0.532,0.9615191588928673,0.10230563850620109,0.06864835243447852,0.03365728607172255,0.4902854165924343,0.10230563850538493
S4,albedo-only comparison,0.1,0.8,0.0,11.0,3.4614689720143224,0.532,0.9690950021283793,0.051555854113229785,0.051555854113229785,0.0,0.0,0.051555854113229785
S5,low-cutoff/high-latitude stress only,0.6,0.8,0.2,11.0,3.4614689720143224,0.532,0.9690950021283793,0.3093351246793787,0.25861672180433537,0.05071840287504331,0.19611416663697373,0.30933512467814883
