probe,day_mid,altitude_km,latitude_deg,longitude_deg,particle,angle_bin,direction,energy_bin,energy_MeV,flux_proxy
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,0,0.01,0.028885659137369946
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,1,0.0124519708474,0.023804130947554115
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,2,0.0155051577983,0.01966164112234445
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,3,0.0193069772888,0.0162823160984936
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,4,0.0240409918351,0.013522757610282463
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,5,0.0299357729472,0.011266088552365598
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,6,0.0372759372031,0.009417130784085102
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,7,0.0464158883361,0.007898508262191793
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,8,0.0577969288415,0.00664749974199121
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,9,0.0719685673001,0.0056134733381365855
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,10,0.0896150501947,0.004755743170358016
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,11,0.111588399251,0.004041714700683756
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,12,0.138949549437,0.003445236959831017
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,13,0.173019573885,0.0029451492839738854
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,14,0.215443469003,0.0025240702909808447
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,15,0.268269579528,0.0021674900850476115
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,16,0.334048498351,0.0018631805059411974
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,17,0.415956216307,0.0016008676155655922
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,18,0.517947467923,0.0013720682287757368
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,19,0.644946677104,0.0011699985390619164
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,20,0.803085722139,0.0009894965963266997
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,21,1.0,0.0008269302440578861
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,22,1.24519708474,0.0006800736140661645
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,23,1.55051577983,0.0005479323973000799
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,24,1.93069772888,0.000430492659015559
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,25,2.40409918351,0.0003283714872438753
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,26,2.99357729472,0.00024236857662113243
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,27,3.72759372031,0.00017295911247573292
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,28,4.64158883361,0.00011982365649484581
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,29,5.77969288415,8.155770376359111e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,30,7.19685673001,5.570185559729212e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,31,8.96150501947,3.914245305383316e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,32,11.1588399251,2.875744616092335e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,33,13.8949549437,2.202070583611343e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,34,17.3019573885,1.728288065870366e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,35,21.5443469003,1.366615089425243e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,36,26.8269579528,1.0763051825169676e-05
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,37,33.4048498351,8.375750787647905e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,38,41.5956216307,6.387943098776252e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,39,51.7947467923,5.085360267388485e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,40,64.4946677104,4.003637755059134e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,41,80.3085722139,3.0561810937229337e-06
low_altitude,3.75,36.25,34.155872450464685,99.75,n,0,down,42,100.0,2.272632834672032e-06
