event_index,stream,tag,local_id,primary,source_volume,component,rate_hz,tes_total_keV,bgo_total_keV,source_file
32387,prompt,eplus,234513,eplus,,prompt:eplus,0.0006792218562725798,510.99889999999994,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
32751,prompt,eplus,240403,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
33767,prompt,eplus,12294,eplus,,prompt:eplus,0.0006792218562725798,510.99890999999997,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
36668,prompt,eplus,57164,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
39005,prompt,eplus,93630,eplus,,prompt:eplus,0.0006792218562725798,510.9989100069999,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
40406,prompt,eplus,114158,eplus,,prompt:eplus,0.0006792218562725798,510.998895673,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
40698,prompt,eplus,118699,eplus,,prompt:eplus,0.0006792218562725798,510.998949,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
43389,prompt,eplus,160761,eplus,,prompt:eplus,0.0006792218562725798,510.9989060000001,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
45342,prompt,eplus,190034,eplus,,prompt:eplus,0.0006792218562725798,510.99884800000007,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz
53141,prompt,eplus,68149,eplus,,prompt:eplus,0.0006792218562725798,510.99888400000003,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
55922,prompt,eplus,111810,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
57951,prompt,eplus,143342,eplus,,prompt:eplus,0.0006792218562725798,510.998876,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
58525,prompt,eplus,152134,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
60240,prompt,eplus,178865,eplus,,prompt:eplus,0.0006792218562725798,510.99897000000004,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
60421,prompt,eplus,181715,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
60459,prompt,eplus,182309,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
60875,prompt,eplus,188885,eplus,,prompt:eplus,0.0006792218562725798,510.99887300000006,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
62069,prompt,eplus,207007,eplus,,prompt:eplus,0.0006792218562725798,510.99897999999996,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz
