annulus_id,outer_cut_id,r_inner_cm,r_outer_cm,signal_cps_at_reference_flux,prompt_cps_scaled_to_current,delayed_cps_scaled_to_current,background_cps_scaled_to_current,Z20d_time_dependent,T3_day_time_dependent,T5_day_time_dependent,T3_status,T5_status,F3_20d_ph_cm2_s,source_counts_20d,prompt_counts_20d,delayed_counts_20d,background_counts_20d,s_over_sqrt_b_annulus
0_0.720711,spot_r50,0.0,0.7207108448941753,0.0005311780698844835,0.0088297926638727,0.00041974332617850324,0.009249535990051202,7.192820079201693,3.080269123743501,9.644640444662372,mission_internal_crossing,mission_internal_crossing,4.17082586102023e-05,910.6309453498718,15312.749320986031,715.5120229232562,16028.261343909291,7.192820079201693
0.720711_0.849486,spot_r68,0.7207108448941753,0.8494856401373088,0.00019120181685779354,0.006112933227457849,0.0003352753208806943,0.006448208548338543,3.1011018228390226,18.408646697011033,51.992170934464724,mission_internal_crossing,extrapolated_beyond_20d,9.673980963493598e-05,327.78893013352484,10601.1338761077,571.5243295555593,11172.658205663258,3.1011018228390226
0.849486_1.05164,spot_r90,0.8494856401373088,1.0516422148529696,0.00023370879862195481,0.004074676230804871,0.0004312791469478544,0.004505955377752726,4.53614839180034,8.429137026923817,24.29939707130167,mission_internal_crossing,extrapolated_beyond_20d,6.613540256802178e-05,400.66124015996445,7066.360226303358,735.1764653097644,7801.536691613123,4.53614839180034
1.05164_1.13764,spot_r95,1.0516422148529696,1.1376384250741831,5.313372720472517e-05,0.004754503636835137,0.000234767055955602,0.0049892706927907385,0.9796636340509549,187.5506316604677,520.9739768346325,extrapolated_beyond_20d,extrapolated_beyond_20d,0.00030622755563507653,91.09038753223284,8245.32637492772,400.19373899727987,8645.520113925,0.9796636340509549
1.13764_1.30967,spot_r99,1.1376384250741831,1.3096744782126644,4.250698176630138e-05,0.010187610070923142,0.0005786286939583175,0.01076623876488146,0.533553899919556,632.2894096698952,1756.3594713052646,extrapolated_beyond_20d,extrapolated_beyond_20d,0.0005622674673453443,72.87231003010862,17667.49516489528,986.3546637058143,18653.849828601105,0.533553899919556
1.30967_1.8,full_aperture_1p8,1.3096744782126644,1.8,1.0586944897502618e-05,0.02512320880261122,0.0018979436634251998,0.02702115246603642,0.08389380512892912,25574.827862199018,71041.18850610837,extrapolated_beyond_20d,extrapolated_beyond_20d,0.003575949374795386,18.14984500861719,43569.01834254912,3235.3141201207,46804.332462669816,0.08389380512892912
