psf_broadening_factor,cut_radius_cm,signal_keep_vs_hardwindow,prompt_cps,delayed_cps,background_cps,background_keep_vs_hardwindow,Z20d,gain_vs_hardwindow_Z,F3_20d_ph_cm2_s,hardwindow_fallback_Z20d,hardwindow_fallback_preferred,detector_limit_cm,recommended_Z20d_with_hardwindow_fallback
1.0,1.051642,0.8094448510718438,0.01901739779155013,0.0011862973356415222,0.02020369512719165,0.3207935702015557,8.76118545644213,1.4291388895706427,3.424194151482195e-05,6.130394687582996,False,1.8,8.76118545644213
1.15,1.051642,0.6751876055820029,0.01901739779155013,0.0011862973356415222,0.02020369512719165,0.3207935702015557,7.308025769219443,1.192097106573206,4.1050758368089675e-05,6.130394687582996,False,1.8,7.308025769219443
1.3,1.367135,0.8094451099251719,0.037431053355652145,0.0022568238154354906,0.039687877171087634,0.6301627366322141,6.250999737643267,1.0196732928639252,4.799232324285861e-05,6.130394687582996,False,1.8,6.250999737643267
1.5,1.577463,0.8094448510718438,0.05013823947241053,0.0031980212509071858,0.053336260723317715,0.8468712971027894,5.392212442692406,0.879586505843455,5.56357901674597e-05,6.130394687582996,True,1.8,6.130394687582996
2.0,1.8,0.6610236658925018,0.05908272463250492,0.0038976372073461713,0.06298036183985109,1.0,4.05233596975403,0.6610236658925018,7.403137406156616e-05,6.130394687582996,True,1.8,6.130394687582996
