source_name,theta_min_deg,theta_max_deg,phi_min_deg,phi_max_deg,flux_cm2_s,delta_mu,delta_omega_sr,particle,bin,expected_delta_mu,delta_mu_abs_diff_from_equal_mu,expected_delta_omega_sr,delta_omega_abs_diff
Atm_muminus_bin08_down,78.463,84.261,0.0,360.0,0.0004762572351896,0.10000366104174306,0.6283415337216476,muminus,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_muminus_bin09_down,84.261,90.0,0.0,360.0,0.0005007574174107,0.0999970395242797,0.6282999295004106,muminus,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_muminus_bin10_up,90.0,95.739,0.0,360.0,0.0001863276845511,0.09999703952427969,0.6282999295004105,muminus,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_muminus_bin11_up,95.739,101.537,0.0,360.0,0.0001417873391568,0.10000366104174307,0.6283415337216477,muminus,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_muminus_bin12_up,101.537,107.458,0.0,360.0,0.0001156672895719,0.10000590717071561,0.628355646566206,muminus,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_muminus_bin13_up,107.458,113.578,0.0,360.0,9.602430551956e-05,0.09999053728709167,0.628259074739247,muminus,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_muminus_bin14_up,113.578,120.0,0.0,360.0,7.986324874224e-05,0.10000285497616979,0.628336469062281,muminus,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_muminus_bin15_up,120.0,126.87,0.0,360.0,6.591983214515e-05,0.10000142913266263,0.6283275102233065,muminus,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_muminus_bin16_up,126.87,134.427,0.0,360.0,5.352855768998e-05,0.09999852100071771,0.6283092378913988,muminus,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_muminus_bin17_up,134.427,143.13,0.0,360.0,4.229106539161e-05,0.09999897801512836,0.6283121093976289,muminus,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_muminus_bin18_up,143.13,154.158,0.0,360.0,3.194752933151e-05,0.1000005603322881,0.6283220513895583,muminus,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_muminus_bin19_up,154.158,180.0,0.0,360.0,2.231757668372e-05,0.10000051151920342,0.6283217446879019,muminus,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_muplus_bin00_down,0.0,25.842,0.0,360.0,0.0003788850969255,0.1000005115192032,0.6283217446879005,muplus,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_muplus_bin01_down,25.842,36.87,0.0,360.0,0.0003958215317298,0.10000056033228821,0.6283220513895591,muplus,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_muplus_bin02_down,36.87,45.573,0.0,360.0,0.0004133253546399,0.09999897801512847,0.6283121093976297,muplus,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_muplus_bin03_down,45.573,53.13,0.0,360.0,0.0004314695276254,0.0999985210007176,0.6283092378913981,muplus,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_muplus_bin04_down,53.13,60.0,0.0,360.0,0.0004503541662054,0.10000142913266241,0.6283275102233051,muplus,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_muplus_bin05_down,60.0,66.422,0.0,360.0,0.0004701223507416,0.10000285497617001,0.6283364690622824,muplus,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_muplus_bin06_down,66.422,72.542,0.0,360.0,0.000490991026155,0.09999053728709167,0.628259074739247,muplus,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_muplus_bin07_down,72.542,78.463,0.0,360.0,0.0005133203273587,0.10000590717071561,0.628355646566206,muplus,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_muplus_bin08_down,78.463,84.261,0.0,360.0,0.000537807529768,0.10000366104174306,0.6283415337216476,muplus,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_muplus_bin09_down,84.261,90.0,0.0,360.0,0.0005663318975309,0.0999970395242797,0.6282999295004106,muplus,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_muplus_bin10_up,90.0,95.739,0.0,360.0,0.0002062420004953,0.09999703952427969,0.6282999295004105,muplus,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_muplus_bin11_up,95.739,101.537,0.0,360.0,0.0001566916562505,0.10000366104174307,0.6283415337216477,muplus,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_muplus_bin12_up,101.537,107.458,0.0,360.0,0.0001276868246029,0.10000590717071561,0.628355646566206,muplus,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_muplus_bin13_up,107.458,113.578,0.0,360.0,0.0001058986783809,0.09999053728709167,0.628259074739247,muplus,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_muplus_bin14_up,113.578,120.0,0.0,360.0,8.798801910455e-05,0.10000285497616979,0.628336469062281,muplus,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_muplus_bin15_up,120.0,126.87,0.0,360.0,7.254619007862e-05,0.10000142913266263,0.6283275102233065,muplus,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_muplus_bin16_up,126.87,134.427,0.0,360.0,5.883206744387e-05,0.09999852100071771,0.6283092378913988,muplus,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_muplus_bin17_up,134.427,143.13,0.0,360.0,4.640223237469e-05,0.09999897801512836,0.6283121093976289,muplus,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_muplus_bin18_up,143.13,154.158,0.0,360.0,3.496761754565e-05,0.1000005603322881,0.6283220513895583,muplus,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_muplus_bin19_up,154.158,180.0,0.0,360.0,2.432767110496e-05,0.10000051151920342,0.6283217446879019,muplus,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_n_bin00_down,0.0,25.842,0.0,360.0,0.006116695448128,0.1000005115192032,0.6283217446879005,n,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_n_bin01_down,25.842,36.87,0.0,360.0,0.00720024838512,0.10000056033228821,0.6283220513895591,n,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_n_bin02_down,36.87,45.573,0.0,360.0,0.008347838357042,0.09999897801512847,0.6283121093976297,n,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_n_bin03_down,45.573,53.13,0.0,360.0,0.009573742764815,0.0999985210007176,0.6283092378913981,n,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_n_bin04_down,53.13,60.0,0.0,360.0,0.01089831345741,0.10000142913266241,0.6283275102233051,n,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_n_bin05_down,60.0,66.422,0.0,360.0,0.01235227836269,0.10000285497617001,0.6283364690622824,n,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_n_bin06_down,66.422,72.542,0.0,360.0,0.01398591868257,0.09999053728709167,0.628259074739247,n,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_n_bin07_down,72.542,78.463,0.0,360.0,0.01589214197902,0.10000590717071561,0.628355646566206,n,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_n_bin08_down,78.463,84.261,0.0,360.0,0.01828254046184,0.10000366104174306,0.6283415337216476,n,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_n_bin09_down,84.261,90.0,0.0,360.0,0.02194312236699,0.0999970395242797,0.6282999295004106,n,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_n_bin10_up,90.0,95.739,0.0,360.0,0.03457131091761,0.09999703952427969,0.6282999295004105,n,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_n_bin11_up,95.739,101.537,0.0,360.0,0.03403303904615,0.10000366104174307,0.6283415337216477,n,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_n_bin12_up,101.537,107.458,0.0,360.0,0.03379997556758,0.10000590717071561,0.628355646566206,n,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_n_bin13_up,107.458,113.578,0.0,360.0,0.03367241032263,0.09999053728709167,0.628259074739247,n,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_n_bin14_up,113.578,120.0,0.0,360.0,0.03360224715374,0.10000285497616979,0.628336469062281,n,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_n_bin15_up,120.0,126.87,0.0,360.0,0.03356956753888,0.10000142913266263,0.6283275102233065,n,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_n_bin16_up,126.87,134.427,0.0,360.0,0.03356379604403,0.09999852100071771,0.6283092378913988,n,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
