VN,ZA,exc_keV,N_Points,reason
W_Collimator_Aperture_Stop,73178,0.0,0,NO_PROFILE_OR_TOO_FEW_POINTS
Passive_Top_W_Aperture_Annulus,73178,0.0,0,NO_PROFILE_OR_TOO_FEW_POINTS
Passive_Bottom_W_Shield,73178,0.0,0,NO_PROFILE_OR_TOO_FEW_POINTS
TES_L3,73178,0.0,0,NO_PROFILE_OR_TOO_FEW_POINTS
Passive_W_Outer_Liner,73178,0.0,0,NO_PROFILE_OR_TOO_FEW_POINTS
TES_L5,73178,0.0,0,NO_PROFILE_OR_TOO_FEW_POINTS
