VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Active_Shield_Bottom02,55134,Cs-134,0.8171863632999999,0.817090431882203,0.9998826076619665,kept_rescaled,32305.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Bottom01,55134,Cs-134,0.8125578144,0.8124624264411022,0.9998826077883847,kept_rescaled,32122.0,65166444.0,nubase_ground,2702,2.0650,y
PulseTube_ColdHead_Interface_Cu,29064,Cu-64,0.6632435919999999,0.6632435918986823,0.9999999998472392,kept_rescaled,359.0,45721.44,nubase_ground,914,12.7004,h
ColdPlate_1K,29064,Cu-64,0.6521674852000001,0.6521674850446225,0.999999999761752,kept_rescaled,353.0,45721.44,nubase_ground,914,12.7004,h
CsI_Active_Shield_Side05,55134,Cs-134,0.632096596,0.6320223925598945,0.9998826074359913,kept_rescaled,24988.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side01,55134,Cs-134,0.6289586553,0.6288848202696542,0.9998826074977686,kept_rescaled,24864.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side00,55134,Cs-134,0.6288331775,0.628759357117256,0.9998826073664918,kept_rescaled,24859.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side07,55134,Cs-134,0.6267581353,0.6266845583191375,0.9998826070588979,kept_rescaled,24777.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side04,55134,Cs-134,0.6240256964000002,0.6239524405690416,0.9998826076692336,kept_rescaled,24669.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side06,55134,Cs-134,0.6215724879000001,0.6214995199947253,0.9998826075691971,kept_rescaled,24572.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side03,55134,Cs-134,0.6213708392,0.6212978949818249,0.9998826075934476,kept_rescaled,24564.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Active_Shield_Side02,55134,Cs-134,0.6164631598000001,0.6163907914900316,0.9998826072429179,kept_rescaled,24370.0,65166444.0,nubase_ground,2702,2.0650,y
Vacuum_Jacket_Al,13028,Al-28,0.5172999897,0.5172999896540001,0.999999999911077,kept_rescaled,280.0,134.70000000000002,nubase_ground,276,2.245,m
ColdPlate_50mK,29064,Cu-64,0.5006635957,0.5006635956269352,0.9999999998540642,kept_rescaled,271.0,45721.44,nubase_ground,914,12.7004,h
ColdPlate_4K,29066,Cu-66,0.47850249049999993,0.47850249042995013,0.9999999998536062,kept_rescaled,259.0,307.2,nubase_ground,951,5.120,m
Passive_W_Outer_Liner,74185,W-185,0.44714538310000007,0.4471453830229214,0.9999999998276206,kept_rescaled,1872.0,6488639.999999999,nubase_ground,4151,75.1,d
CsI_Active_Shield_Side00,55132,Cs-132,0.37938777160000003,0.37936414216547276,0.9999377169316037,kept_rescaled,257.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Bottom02,55132,Cs-132,0.36757581940000006,0.3675529255050249,0.9999377165369242,kept_rescaled,249.0,559872.0,nubase_ground,2640,6.480,d
W_Collimator_Aperture_Stop,74187,W-187,0.3473206177,0.34732024161646574,0.999998917186268,kept_rescaled,188.0,85712.40000000001,nubase_ground,4206,23.809,h
CsI_Active_Shield_Bottom01,55132,Cs-132,0.34689079899999997,0.34686919340939765,0.9999377164494861,kept_rescaled,235.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Side02,55132,Cs-132,0.34542984969999996,0.34540833508339147,0.9999377163941473,kept_rescaled,234.0,559872.0,nubase_ground,2640,6.480,d
TES_SampleBox_Cu,29066,Cu-66,0.33808360019999995,0.3380836003463829,1.0000000004329785,kept_rescaled,183.0,307.2,nubase_ground,951,5.120,m
CsI_Active_Shield_Side06,55132,Cs-132,0.33652818860000006,0.3365072285449488,0.9999377167923482,kept_rescaled,228.0,559872.0,nubase_ground,2640,6.480,d
ADR_SaltPill_Proxy,31070,Ga-70,0.3307024932,0.3307024933859501,1.0000000005622882,kept_rescaled,179.0,1268.4,nubase_ground,1039,21.14,m
CsI_Active_Shield_Side05,55132,Cs-132,0.3217939566,0.3217739142993212,0.9999377169761341,kept_rescaled,218.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Bottom00,55132,Cs-132,0.31296097339999995,0.31294148107661585,0.9999377164405762,kept_rescaled,212.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Side03,55132,Cs-132,0.3071260853,0.30710695646594566,0.9999377166741286,kept_rescaled,208.0,559872.0,nubase_ground,2640,6.480,d
Outer_Al_Mech_Shell,10024,Ne-24,0.30704738099,0.30704738090422695,0.999999999720652,kept_rescaled,167.0,202.79999999999998,nubase_ground,222,3.38,m
CsI_Active_Shield_Bottom03,55132,Cs-132,0.30559089250000004,0.30557185928282404,0.9999377166740138,kept_rescaled,207.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Side01,55132,Cs-132,0.302606653,0.3025878055849856,0.999937716455248,kept_rescaled,205.0,559872.0,nubase_ground,2640,6.480,d
ADR_SaltPill_Proxy,31072,Ga-72,0.290057488,0.29005748875995174,1.000000002620004,kept_rescaled,157.0,50490.0,nubase_ground,1076,14.025,h
Passive_Bottom_W_Shield,74185,W-185,0.2832892019,0.2832892019863278,1.0000000003047338,kept_rescaled,1186.0,6488639.999999999,nubase_ground,4151,75.1,d
CsI_Active_Shield_Side04,55132,Cs-132,0.2804601682,0.2804427002007445,0.9999377166484367,kept_rescaled,190.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Bottom02,53126,I-126,0.2755978797,0.27559787957994425,0.9999999995643808,kept_rescaled,270.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Bottom03,53126,I-126,0.27052097659999996,0.27052097648475,0.9999999995739702,kept_rescaled,265.0,1117152.0,nubase_ground,2424,12.93,d
Thermal_Bus_Cu,29066,Cu-66,0.26788749469999995,0.2678874946422501,0.999999999784425,kept_rescaled,145.0,307.2,nubase_ground,951,5.120,m
CsI_Active_Shield_Side07,55132,Cs-132,0.2671846944,0.2671680532639651,0.9999377167315955,kept_rescaled,181.0,559872.0,nubase_ground,2640,6.480,d
CsI_Active_Shield_Side07,53126,I-126,0.2613170926,0.2613170927407195,1.0000000005385008,kept_rescaled,256.0,1117152.0,nubase_ground,2424,12.93,d
Outer_Al_Mech_Shell,11026,Na-26,0.2574138829,0.2574138828713587,0.9999999998887344,kept_rescaled,140.0,1.07128,nubase_ground,249,1071.28,ms
CsI_Active_Shield_Bottom00,53126,I-126,0.2572124559,0.25721245604117815,1.0000000005488774,kept_rescaled,252.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Side02,53126,I-126,0.24801097810000006,0.24801097820322526,1.0000000004162122,kept_rescaled,243.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Side04,53126,I-126,0.2337373758,0.23373737595249966,1.00000000065244,kept_rescaled,229.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Side03,53126,I-126,0.23183852489999998,0.2318385249427005,1.0000000001841822,kept_rescaled,227.0,1117152.0,nubase_ground,2424,12.93,d
CsI_Active_Shield_Side00,53126,I-126,0.2316886439,0.2316886438546686,0.9999999998043435,kept_rescaled,227.0,1117152.0,nubase_ground,2424,12.93,d
